country,era,n_classified,n_crossings,crossing_rate,ci_low,ci_high
Spain,1600-1799,3624,1048,0.2891832229580574,0.27465119669355215,0.30416172611983644
Spain,1800-1899,9244,2642,0.28580700995240155,0.27668724314866794,0.29510473045088
Spain,1900-2020,26375,5211,0.1975734597156398,0.19281228129541422,0.20242272402036127
Sweden,1400-1599,474,106,0.22362869198312235,0.1884240711783416,0.2632770783239202
Sweden,1600-1799,5651,1406,0.2488055211466997,0.23770674206554293,0.26024559668785385
Sweden,1800-1899,16630,3991,0.23998797354179194,0.2335574458892017,0.24653860119591664
Sweden,1900-2020,35832,6236,0.17403438267470417,0.17014366342535614,0.17799498891202892
Switzerland,1400-1599,633,180,0.2843601895734597,0.250600244224575,0.32072172971682583
Switzerland,1600-1799,2079,582,0.27994227994227994,0.26106216022957324,0.29963415004193267
Switzerland,1800-1899,5606,1163,0.20745629682483055,0.19704375397944834,0.21826950548941082
Switzerland,1900-2020,13181,1892,0.14353994385858432,0.13765797986333062,0.14962962774812522
Turkey,1000-1399,273,39,0.14285714285714285,0.10629524721107675,0.18933084366543895
Turkey,1600-1799,215,87,0.4046511627906977,0.34127287523865335,0.47137700485726997
Turkey,1800-1899,839,347,0.4135876042908224,0.38073091044203267,0.44723201877266217
Turkey,1900-2020,4141,723,0.17459550833132093,0.16333598666373855,0.18645822501373538
Turkey,Pre-1000,549,68,0.12386156648451731,0.09889055795824166,0.1540600159493659
US,1600-1799,8878,2581,0.2907186303221446,0.28136483969062837,0.30025345892888317
US,1800-1899,64132,14466,0.22556602008357762,0.22234771109467416,0.2288172050915976
US,1900-2020,200424,31979,0.15955673971181097,0.15796004757839016,0.16116648239567716
United Kingdom,1000-1399,985,129,0.13096446700507614,0.11132180524134169,0.15347449782681402
United Kingdom,1400-1599,5217,1055,0.20222350009584053,0.191545030511604,0.21334018952648337
United Kingdom,1600-1799,20037,5061,0.25258272196436593,0.24661432703921835,0.2586459710113387
United Kingdom,1800-1899,37375,8726,0.2334715719063545,0.22921019042893623,0.23778773815320578
United Kingdom,1900-2020,69329,10707,0.15443753696144472,0.1517667175227487,0.15714665030898314
