country,n_elites,n_classified,n_crossings,n_sector_diversified,median_birth,crossing_rate,crossing_rate_ci_low,crossing_rate_ci_high,share_of_all_elites,in_domain_panel,in_sector_panel
Austria-Hungary,1568,1535,345,762,1856.0,0.2247557003257329,0.20457537893701505,0.24631027427121638,0.0007683799874256183,False,False
Uganda,1302,925,326,541,1967.0,0.35243243243243244,0.3223135476551994,0.38377196789449175,0.0006380298109873438,False,False
Vietnam,2145,1435,319,727,1947.0,0.22229965156794426,0.20154380760791488,0.2445383740582254,0.001051132061880071,False,False
Iraq,1694,1280,319,651,1955.0,0.24921875,0.22629547879980771,0.2736428313468645,0.0008301248078437484,False,False
Hong Kong,1540,1204,318,657,1958.0,0.26411960132890366,0.2399954293775075,0.28974423184959375,0.0007546589162215894,False,False
Tunisia,2700,1430,312,667,1962.0,0.21818181818181817,0.19754551754857447,0.2403282336384464,0.0013231032946742153,False,False
Morocco,2738,1371,303,775,1966.0,0.2210065645514223,0.19983922196350337,0.2437330411975764,0.0013417247484511115,False,False
Georgia,2546,1432,299,829,1964.0,0.20879888268156424,0.1885398036581897,0.2306161812359658,0.0012476374030520564,False,False
Armenia,2135,1536,295,785,1952.0,0.19205729166666666,0.173135147373905,0.21251594816735064,0.0010462316793072035,False,False
Bolivia,1507,992,286,602,1959.0,0.28830645161290325,0.2609770357529497,0.31726914315743115,0.0007384876537311268,False,False
Slovakia,4263,1372,273,718,1977.0,0.1989795918367347,0.17870746563800818,0.22093272550027407,0.0020890330908134,False,False
Latvia,2599,1294,270,654,1962.0,0.20865533230293662,0.18739323486242956,0.23164218517650273,0.001273609430688254,False,False
Syria,1416,1079,267,594,1951.0,0.247451343836886,0.22262858238596359,0.2740660403547954,0.0006938941723180329,False,False
Ghana,2257,1084,266,571,1977.0,0.24538745387453875,0.22069898159199494,0.2718742018567718,0.0011060163466961865,False,False
Thailand,3130,1327,266,888,1979.0,0.2004521477015825,0.1797904350974081,0.22284320665229368,0.001533819745307516,False,False
Palestine,879,772,246,448,1949.0,0.31865284974093266,0.2867506721004117,0.352350917708642,0.0004307436281550501,False,False
Algeria,2990,1337,242,569,1967.0,0.18100224382946897,0.1612872342802589,0.20254515278171772,0.0014652143892873717,False,False
Iceland,2623,1592,239,809,1957.0,0.15012562814070352,0.1334223185332122,0.16851341243156523,0.0012853703488631357,False,False
Taiwan,2218,1419,238,603,1966.0,0.16772374911909796,0.14918643763184372,0.1880553185833246,0.0010869048546620034,False,False
Slovenia,3064,1085,235,649,1977.0,0.21658986175115208,0.19310197799418832,0.24207757429330695,0.001501477220326591,False,False
Costa Rica,1560,856,230,566,1961.0,0.26869158878504673,0.24007752213433406,0.29937253471334585,0.0007644596813673243,False,False
Afghanistan,1212,837,227,535,1961.0,0.2712066905615293,0.24218333991472354,0.30232064276168075,0.0005939263678315367,False,False
Myanmar,1297,935,221,513,1949.0,0.23636363636363636,0.21024449399348794,0.26464030020395707,0.0006355796197009101,False,False
Singapore,1602,1116,217,584,1970.0,0.19444444444444445,0.17228843465329582,0.21869686183863665,0.0007850412881733676,False,False
Guatemala,1149,687,211,426,1955.0,0.3071324599708879,0.273788522998385,0.34262137472636106,0.0005630539576224715,False,False
Congo,1765,950,210,426,1964.0,0.22105263157894736,0.19581795681074685,0.2485342291287215,0.0008649175241111074,False,False
Luxembourg,1700,912,194,674,1938.0,0.21271929824561403,0.18739278398173137,0.24045587456358913,0.0008330650373874688,False,False
Dominica,1879,934,194,598,1972.0,0.20770877944325483,0.18291509874934675,0.23489703498411107,0.0009207818854417965,False,False
El Salvador,948,510,193,335,1958.0,0.3784313725490196,0.33739511974251135,0.4212853763481127,0.00046455626790783554,False,False
Holy Roman Empire,1048,1016,193,464,1795.0,0.18996062992125984,0.16702473622786562,0.21523227309593523,0.0005135600936365101,False,False
Haiti,944,658,192,383,1949.0,0.2917933130699088,0.25834722433075846,0.3276564357595109,0.00046259611487868855,False,False
Kenya,2410,898,187,433,1975.0,0.20824053452115812,0.18295274016075921,0.23601396086523022,0.0011809922000610587,False,False
Azerbaijan,1547,901,177,388,1965.0,0.19644839067702552,0.17181694821426727,0.2236573535861804,0.0007580891840225966,False,False
Moldova,1155,599,168,334,1974.0,0.28046744574290483,0.24597825883823357,0.31775456915505684,0.000565994187166192,False,False
Paraguay,1862,678,167,414,1971.0,0.24631268436578171,0.21536943821632357,0.2801145568933911,0.0009124512350679217,False,False
Belarus,2732,611,158,366,1983.0,0.25859247135842883,0.2254572217688366,0.2947444041458705,0.001338784518907391,False,False
Honduras,1159,530,146,311,1974.0,0.27547169811320754,0.23915503110673395,0.3150198402408718,0.0005679543401953391,False,False
Bosnia and Herzegovina,2110,825,143,392,1972.0,0.17333333333333334,0.1490322425434799,0.2006625604200779,0.0010339807228750349,False,False
Panama,993,577,142,315,1965.0,0.24610051993067592,0.21270954153601573,0.2828500051631188,0.0004866079894857391,False,False
Macedonia,1353,583,142,343,1975.0,0.24356775300171526,0.2104770101124091,0.28001582475137693,0.0006630217621089678,False,False
Nepal,1091,830,139,438,1963.0,0.1674698795180723,0.14361118629945768,0.19439257844434976,0.0005346317386998403,False,False
Saudi Arabia,1616,648,138,467,1980.0,0.21296296296296297,0.18317981448031417,0.2461293919281139,0.0007919018237753821,False,False
Zimbabwe,1400,588,137,278,1974.0,0.23299319727891157,0.20062382612007712,0.2688288112072078,0.000686053560201445,False,False
Senegal,1591,630,133,294,1972.0,0.2111111111111111,0.18104293050697812,0.2446810989666317,0.0007796508673432135,False,False
Czechoslovakia,1640,600,125,335,1930.0,0.20833333333333334,0.17774324550020665,0.24263454894124958,0.000803662741950264,False,False
Malta,1094,647,124,309,1952.0,0.19165378670788252,0.1631794980515011,0.2237681094769667,0.0005361018534717005,False,False
Cameroon,1691,614,120,300,1980.0,0.19543973941368079,0.16600791095652231,0.22865894216570196,0.0008286546930718881,False,False
Namibia,779,381,119,196,1976.0,0.3123359580052493,0.26786785322542794,0.36055069612058865,0.0003817398024263754,False,False
Yugoslavia,1297,557,117,318,1929.0,0.21005385996409337,0.17826825286023998,0.24581155862307372,0.0006355796197009101,False,False
Jamaica,2198,1137,116,389,1963.0,0.10202286719437115,0.08574788457994321,0.12097809736180927,0.0010771040895162685,False,False
Nicaragua,569,400,115,221,1948.0,0.2875,0.2453321707244168,0.3337107015304474,0.0002788317683961587,False,False
Kazakhstan,1940,487,108,237,1981.0,0.22176591375770022,0.1871264860369794,0.2607605716207253,0.000950674219136288,False,False
Cyprus,1136,417,101,284,1970.0,0.2422062350119904,0.20355970027010512,0.2855592461458385,0.0005566834602777439,False,False
Jordan,757,399,100,285,1969.0,0.2506265664160401,0.21061731226103036,0.2953919976017047,0.000370958960766067,False,False
Zambia,645,288,93,174,1968.0,0.3229166666666667,0.27154964038144713,0.3789456968151692,0.0003160746759499514,False,False
Sudan,468,293,90,167,1957.0,0.30716723549488056,0.25712331183385406,0.36220228134446064,0.00022933790441019732,False,False
Somalia,344,288,88,152,1953.0,0.3055555555555556,0.25520298288549725,0.36102719129117955,0.00016857316050664076,False,False
Korean Peninsula,254,212,86,180,1556.5,0.4056603773584906,0.34181102789308393,0.4728678847910327,0.0001244697173508336,False,False
Mali,761,370,84,170,1972.0,0.22702702702702704,0.18727435325766245,0.2723898467671609,0.000372919113795214,False,False
Niger,343,260,82,138,1955.0,0.3153846153846154,0.26193859280068205,0.37420673075708893,0.000168083122249354,False,False
Tanzania,862,685,82,183,1960.0,0.11970802919708029,0.09749411883093209,0.1461636393532426,0.00042241297778117536,False,False
Ethiopia,1024,430,81,289,1971.0,0.1883720930232558,0.15423416158876935,0.22802885790959132,0.0005017991754616283,False,False
North Korea,845,220,81,145,1979.0,0.36818181818181817,0.30721877180530943,0.43366942770720285,0.0004140823274073007,False,False
Yemen,427,333,80,168,1957.0,0.24024024024024024,0.1974815192883091,0.2889239603199103,0.0002092463358614407,False,False
Montenegro,1084,334,79,193,1982.0,0.23652694610778444,0.19410952391840602,0.28493627742755023,0.0005312014708988331,False,False
Ivory Coast,1258,400,78,180,1981.0,0.195,0.15915003771249597,0.23665267305330928,0.0006164681276667269,False,False
Kosovo,452,297,77,130,1974.0,0.25925925925925924,0.2127173054491266,0.3119494959506798,0.00022149729229360937,False,False
Kuwait,559,247,74,147,1970.0,0.29959514170040485,0.2458923599088546,0.3594362618189608,0.0002739313858232912,False,False
Guinea,923,418,74,186,1974.0,0.17703349282296652,0.143431061823074,0.21651826512808495,0.0004523053114756669,False,False
Sierra Leone,436,254,72,145,1962.0,0.28346456692913385,0.23158544302969306,0.34179604389871565,0.00021365668017702142,False,False
Fiji,768,247,72,175,1975.0,0.291497975708502,0.23836066492956332,0.3510216384842244,0.0003763493815962212,False,False
Trinidad and Tobago,1014,408,71,219,1968.5,0.17401960784313725,0.14031793098070633,0.21380268238132405,0.0004968987928887608,False,False
Angola,799,326,69,153,1976.0,0.2116564417177914,0.1708034098044896,0.2592260346318702,0.00039154056757211036,False,False
East Timor,365,278,69,106,1966.0,0.24820143884892087,0.2010848662831845,0.3021822170714374,0.00017886396390966243,False,False
Liberia,469,244,68,158,1969.0,0.2786885245901639,0.22619358246008145,0.3380442210402187,0.00022982794266748405,False,False
Libya,377,215,66,137,1967.0,0.30697674418604654,0.24916048539432867,0.3715697596779063,0.0001847444229971034,False,False
Rwanda,377,237,64,111,1965.0,0.270042194092827,0.21751719019192667,0.3299031890116661,0.0001847444229971034,False,False
Mauritania,247,157,64,110,1964.0,0.40764331210191085,0.33387399932302364,0.4858243871640544,0.00012103944954982635,False,False
Cambodia,539,347,60,209,1951.0,0.1729106628242075,0.13675847233225605,0.2162258944019055,0.0002641306206775563,False,False
Liechtenstein,597,292,58,161,1958.0,0.19863013698630136,0.1569116296345226,0.24817541694716166,0.00029255283960018757,False,False
Benin,400,236,57,123,1962.0,0.24152542372881355,0.19133912395095234,0.299991821139474,0.00019601530291469855,False,False
Burkina Faso,510,222,55,115,1975.0,0.24774774774774774,0.1955711455396336,0.3085060483874374,0.00024991951121624065,False,False
Mongolia,761,319,53,218,1959.0,0.16614420062695925,0.12932079145952308,0.21091293306668424,0.000372919113795214,False,False
San Marino,381,174,48,133,1968.0,0.27586206896551724,0.21483602929568738,0.34657142542806685,0.00018670457602625037,False,False
United Arab Emirates,807,210,48,160,1984.0,0.22857142857142856,0.17695482062672174,0.28994030174422947,0.00039546087363040433,False,False
Gambia,414,234,47,105,1966.0,0.20085470085470086,0.15454035476754363,0.2568325926058343,0.000202875838516713,False,False
Grenada,378,156,47,109,1971.0,0.30128205128205127,0.2347685044598138,0.37734749037507265,0.00018523446125439012,False,False
Uzbekistan,899,260,46,120,1980.0,0.17692307692307693,0.13534097087910732,0.227913345346992,0.00044054439330078497,False,False
Mozambique,358,203,45,108,1965.5,0.22167487684729065,0.17000083767345267,0.2836873952545463,0.00017543369610865521,False,False
Malawi,306,185,43,96,1960.0,0.23243243243243245,0.17738614145354398,0.2983649642350331,0.0001499517067297444,False,False
Kyrgyzstan,401,172,42,80,1975.0,0.2441860465116279,0.18603087651705913,0.31351871811811255,0.0001965053411719853,False,False
Mauritius,451,227,42,109,1968.0,0.18502202643171806,0.13989653263980148,0.24063106723821007,0.0002210072540363226,False,False
Madagascar,300,179,39,87,1958.0,0.21787709497206703,0.16367585934982604,0.2839334374404011,0.0001470114771860239,False,False
Bahrain,360,135,38,79,1980.0,0.2814814814814815,0.21247707437051155,0.36257824046308307,0.0001764137726232287,False,False
Chad,223,126,38,76,1963.0,0.30158730158730157,0.22829707784745568,0.3866183267686304,0.00010927853137494445,False,False
Barbados,598,211,34,125,1959.0,0.16113744075829384,0.11766144299866238,0.21673189609395282,0.00029304287785747435,False,False
Tajikistan,341,187,32,69,1964.0,0.1711229946524064,0.12390053852564868,0.23158589629778598,0.0001671030457347805,False,False
Dominican republic,382,147,28,84,1983.0,0.19047619047619047,0.13519940450663895,0.2615187422115077,0.0001871946142835371,False,False
Qatar,703,141,28,98,1984.0,0.19858156028368795,0.1411166496666902,0.2720353729566445,0.0003444968948725827,False,False
Monaco,327,194,26,119,1920.0,0.13402061855670103,0.09312615773797961,0.1891279283591809,0.00016024251013276605,False,False
Togo,349,142,26,57,1974.0,0.18309859154929578,0.12812480317278419,0.2547673208850978,0.00017102335179307448,False,False
Botswana,292,118,26,69,1978.0,0.22033898305084745,0.15503376394311624,0.30327932452584666,0.00014309117112772994,False,False
Gabon,315,164,26,83,1970.0,0.15853658536585366,0.11054494493842476,0.2221592237539614,0.0001543620510453251,False,False
Kurdistan,168,166,25,79,1952.5,0.15060240963855423,0.10413739426990837,0.2128732792046703,8.23264272241734e-05,False,False
Central African Republic,221,117,25,52,1966.0,0.21367521367521367,0.14912833374141088,0.2964268393115775,0.00010829845486037095,False,False
The Bahamas,417,167,25,77,1967.0,0.1497005988023952,0.10350039506050464,0.21165469597118786,0.00020434595328857325,False,False
Belize,264,143,25,65,1966.0,0.17482517482517482,0.12131235572938667,0.24535213171831208,0.00012937009992370103,False,False
Suriname,331,182,24,84,1955.0,0.13186813186813187,0.09024028427258002,0.18871555769175952,0.00016220266316191304,False,False
Eritrea,213,92,23,47,1982.0,0.25,0.1727513473118804,0.3472900543341689,0.00010437814880207698,False,False
Burundi,243,140,23,56,1971.0,0.16428571428571428,0.11203753808504885,0.23446583785070274,0.00011907929652067936,False,False
Andorra,314,103,20,55,1974.0,0.1941747572815534,0.12936210686118582,0.28097993219476247,0.00015387201278803836,False,False
Turkmenistan,255,86,20,52,1977.0,0.23255813953488372,0.1558899158392809,0.3320978314848985,0.00012495975560812032,False,False
Equatorial Guinea,173,63,19,43,1976.0,0.30158730158730157,0.20237537048735993,0.4236060542541184,8.477661851060713e-05,False,False
Maldives,213,93,19,63,1976.0,0.20430107526881722,0.1348753753056426,0.2971868789322056,0.00010437814880207698,False,False
Cape Verde,321,147,18,57,1976.0,0.12244897959183673,0.07887506814974164,0.18525366026470103,0.00015730228058904558,False,False
Tibet,55,50,17,34,1920.0,0.34,0.2243676963506106,0.47846431458517147,2.695210415077105e-05,False,False
Guyana,234,73,17,51,1973.0,0.2328767123287671,0.15078759076763015,0.3416748254235996,0.00011466895220509866,False,False
Saint Lucia,118,93,17,80,1975.5,0.1827956989247312,0.1173779926949177,0.27337969821477404,5.782451435983607e-05,False,False
Laos,155,69,13,52,1947.0,0.18840579710144928,0.11354641477529213,0.2961315714303925,7.595592987944569e-05,False,False
Marshall Islands,24,21,13,21,1952.0,0.6190476190476191,0.40878295815501514,0.7924923220201749,1.1760918174881912e-05,False,False
Comoros,119,62,12,26,1973.0,0.1935483870967742,0.11433696420146605,0.3085203175170827,5.8314552617122816e-05,False,False
Polish–Lithuanian Commonwealth,56,42,12,38,1657.0,0.2857142857142857,0.1716685874457567,0.43567496077245566,2.7442142408057798e-05,False,False
Seychelles,143,38,12,26,1977.0,0.3157894736842105,0.1908442002366664,0.47456056439948513,7.007547079200473e-05,False,False
Northern Cyprus,73,67,10,31,1957.0,0.14925373134328357,0.08314184208625061,0.2534061748981201,3.5772792781932484e-05,False,False
British North America,14,14,9,12,1632.0,0.6428571428571429,0.3876400468214042,0.8365550926279727,6.8605356020144495e-06,False,False
Saint Kitts and Nevis,84,50,9,45,1982.0,0.18,0.0977008273245379,0.3079631945470261,4.11632136120867e-05,False,False
Lesotho,141,38,8,25,1977.0,0.21052631578947367,0.1107466035209593,0.36346088376442165,6.909539427743123e-05,False,False
Palau,47,26,8,12,1961.0,0.3076923076923077,0.16501120939792674,0.49988611514231246,2.303179809247708e-05,False,False
Overseas Territories of United Kingdom,245,27,8,23,1972.0,0.2962962962962963,0.15852853317647564,0.4848103338083759,0.00012005937303525286,False,False
Overseas Territories of US,535,107,8,46,1971.0,0.07476635514018691,0.03836964356083345,0.1406389597072536,0.0002621704676484093,False,False
Guinea-Bissau,96,33,7,13,1983.0,0.21212121212121213,0.1067588656643618,0.3775197758712936,4.704367269952765e-05,False,False
Vanuatu,112,36,6,17,1982.0,0.16666666666666666,0.07870340628564097,0.3189111473467432,5.4884284816115596e-05,False,False
Saint Vincent and the Grenadines,62,41,6,29,1973.0,0.14634146341463414,0.0688415452945541,0.2844375526858926,3.0382371951778274e-05,False,False
Djibouti,105,53,6,15,1964.0,0.11320754716981132,0.052929589110686695,0.22576770301339144,5.145401701510837e-05,False,False
Abkhazia,19,19,6,8,1952.0,0.3157894736842105,0.15364171004428598,0.5398998982493537,9.310726888448181e-06,False,False
Samoa,170,39,5,26,1979.0,0.1282051282051282,0.05602734948028318,0.26706049037630475,8.330650373874689e-05,False,False
Brunei,154,60,5,49,1983.0,0.08333333333333333,0.03611992405048589,0.18069168468112481,7.546589162215894e-05,False,False
Oman,210,37,5,28,1984.0,0.13513513513513514,0.059132072625076235,0.2797772747070557,0.00010290803403021674,False,False
São Tomé and Príncipe,60,30,5,12,1968.5,0.16666666666666666,0.07336434240351683,0.33564705185680177,2.940229543720478e-05,False,False
Bhutan,127,39,4,30,1982.0,0.10256410256410256,0.04061265558286986,0.2357915870224483,6.22348586754168e-05,False,False
Denmark-Norway,14,14,4,9,1672.0,0.2857142857142857,0.11721187910109099,0.5464954117248438,6.8605356020144495e-06,False,False
Federated States of Micronesia,36,20,4,9,1959.5,0.2,0.0806563532712,0.41602172202575993,1.764137726232287e-05,False,False
Nauru,56,36,4,13,1967.0,0.1111111111111111,0.04406568908741834,0.2531512901503632,2.7442142408057798e-05,False,False
Papua New Guinea,106,48,4,11,1969.0,0.08333333333333333,0.03288322434995555,0.19553565161066291,5.1944055272395116e-05,False,False
Transnistria,18,18,4,11,1955.5,0.2222222222222222,0.09000781913382,0.4521502645230549,8.820688631161434e-06,False,False
Solomon Islands,125,61,4,17,1970.0,0.06557377049180328,0.02579328695767287,0.15683021400467229,6.12547821608433e-05,False,False
South Sudan,23,15,4,8,1978.0,0.26666666666666666,0.1089727610318281,0.5195088965768675,1.1270879917595166e-05,False,False
Swaziland,110,35,4,22,1972.0,0.11428571428571428,0.0453510585448975,0.2595179478812023,5.39042083015421e-05,False,False
Antigua and Barbuda,188,33,3,19,1974.0,0.09090909090909091,0.03140337104926305,0.23572943534351032,9.212719236990831e-05,False,False
Tonga,205,38,3,31,1978.0,0.07894736842105263,0.02721410139426493,0.2079967892026529,0.000100457842743783,False,False
Serbia and Montenegro,34,7,3,5,1974.5,0.42857142857142855,0.15821692226262685,0.7495457695909742,1.6661300747749375e-05,False,False
PolishâLithuanian Commonwealth,11,9,3,8,1718.0,0.3333333333333333,0.12058159868274293,0.6458026525009102,5.3904208301542105e-06,False,False
Macau,4,3,2,2,1956.5,0.6666666666666666,0.2076549551264879,0.9385096847238394,1.9601530291469857e-06,False,False
Overseas Territories of New Zealand,35,25,2,17,1967.0,0.08,0.02221993369109193,0.24966512122957818,1.7151339005036122e-05,False,False
Nagorno-Karabakh Republic,3,3,2,2,1978.0,0.6666666666666666,0.2076549551264879,0.9385096847238394,1.470114771860239e-06,False,False
British Empire,8,8,2,5,1819.5,0.25,0.07147768885802763,0.5907301208974108,3.920306058293971e-06,False,False
England,11,6,1,9,634.0,0.16666666666666666,0.03005258587173032,0.563509436563646,5.3904208301542105e-06,False,False
Assyria,10,2,1,6,-710.5,0.5,0.09452865480086614,0.9054713451991339,4.900382572867464e-06,False,False
Scotland,1,1,1,1,1677.0,1.0,0.20654329147389294,1.0,4.900382572867464e-07,False,False
Dominican Republic,4,3,1,3,1950.5,0.3333333333333333,0.0614903152761605,0.7923450448735121,1.9601530291469857e-06,False,False
Kiribati,35,12,1,3,1983.0,0.08333333333333333,0.014864709450773478,0.35388592179859524,1.7151339005036122e-05,False,False
Western Sahara,13,13,1,7,1953.0,0.07692307692307693,0.013710066379696323,0.3331453392824736,6.370497344727703e-06,False,False
Babylon,11,2,0,5,-747.0,0.0,0.0,0.6576280471103807,5.3904208301542105e-06,False,False
Judea,6,3,0,6,-887.0,0.0,0.0,0.5615060804490177,2.940229543720478e-06,False,False
Overseas Territories of Netherlands,13,8,0,2,1930.0,0.0,0.0,0.3244156195108769,6.370497344727703e-06,False,False
Pre-Columbian era,7,2,0,6,1476.0,0.0,0.0,0.6576280471103807,3.4302678010072248e-06,False,False
Overseas Territories of Australia,1,0,0,0,1979.0,,,,4.900382572867464e-07,False,False
