domain_a,domain_b,pair,n_elites_period,n_diversified_period,n_pair,expected_qi,assoc_log2,assoc_ci_low,assoc_ci_high,assoc_boot_se,p_value,share_of_diversified,log_or_uncond,se_uncond,ci_low_uncond,ci_high_uncond,p_value_uncond,q_value,q_value_uncond,direction,country,era
Political,Security,Political + Security,32826,6357,673,485.4156756348096,0.4709719711541411,0.3976766697237842,0.5452842913672401,0.038062318500924446,0.0004997501249375312,0.10586754758533899,-0.7362682718606488,0.04509531200223686,-0.824655083385033,-0.6478814603362646,6.349410443501482e-60,0.0005997001499250374,9.524115665252223e-60,associated,France,1800-1899
Ideational,Economic,Ideational + Economic,32826,6357,1826,1638.4156754255448,0.15634012609293862,0.12807415562853855,0.1853327793605538,0.01455861999600758,0.0004997501249375312,0.28724240994179645,-2.179082144825385,0.03428868877040866,-2.2462879748153863,-2.111876314835384,0.0,0.0005997001499250374,0.0,associated,France,1800-1899
Ideational,Security,Ideational + Security,32826,6357,615,748.9307824722724,-0.28403638010865273,-0.3606218063087401,-0.2114243429649252,0.038083910803307634,0.0004997501249375312,0.09674374705049552,-3.1269470796828482,0.04772862352664182,-3.220495181795066,-3.0333989775706303,0.0,0.0005997001499250374,0.0,dissociated,France,1800-1899
Economic,Security,Economic + Security,32826,6357,338,391.65354192033215,-0.21226279706080525,-0.3389934503055058,-0.09599665250689449,0.06337479694827902,0.0014992503748125937,0.053169734151329244,-0.35610106891302984,0.05982301553552079,-0.47335417936265056,-0.23884795846340912,2.639538892441454e-09,0.0014992503748125937,2.639538892441454e-09,dissociated,France,1800-1899
Political,Ideational,Political + Ideational,55366,7539,2613,2730.904166554589,-0.06365964654539834,-0.07892285124823807,-0.049103852128255306,0.007453200822386093,0.0004997501249375312,0.34659769200159174,-12.821146562703865,1.4143924965527996,-15.593355855947351,-10.048937269460378,1.248642577329995e-19,0.0004997501249375312,2.49728515465999e-19,dissociated,France,1900-2020
Political,Economic,Political + Economic,55366,7539,858,1070.0740914964183,-0.3184946048051762,-0.3722957203971509,-0.26521247782128327,0.027433890002822828,0.0004997501249375312,0.11380819737365698,-0.5686322901356433,0.03842705352844645,-0.6439493150513984,-0.4933152652198883,1.5156124826812833e-49,0.0004997501249375312,4.54683744804385e-49,dissociated,France,1900-2020
Political,Security,Political + Security,55366,7539,733,403.02174218684866,0.8621505563359411,0.7939726961433875,0.927184062876772,0.03481308982219468,0.0004997501249375312,0.09722774903833399,0.3399212918902135,0.044836248489246645,0.25204224485129006,0.4278003389291369,3.4186012274098464e-14,0.0004997501249375312,4.102321472891816e-14,associated,France,1900-2020
Ideational,Economic,Ideational + Economic,55366,7539,2518,2188.0217419086393,0.2026080144680926,0.17974305193761467,0.2260251507737544,0.01156738531679003,0.0004997501249375312,0.33399655126674627,-11.813694980906591,1.4144651895248852,-14.586046752375367,-9.041343209437816,6.708383308193933e-17,0.0004997501249375312,1.00625749622909e-16,associated,France,1900-2020
Ideational,Security,Ideational + Security,55366,7539,612,824.0740911066856,-0.428939286988129,-0.5040069956178429,-0.35635017148905845,0.0376116615740923,0.0004997501249375312,0.08117787504974135,-5.45797457435739,0.0595408896729246,-5.574674718116323,-5.341274430598458,0.0,0.0004997501249375312,0.0,dissociated,France,1900-2020
Economic,Security,Economic + Security,55366,7539,205,322.904166746818,-0.6541998727408739,-0.8409168136107664,-0.4924199259123006,0.08846845555047277,0.0004997501249375312,0.0271919352699297,-0.3449988431145288,0.07403036956169555,-0.49009836745545204,-0.1998993187736055,3.158501454684041e-06,0.0004997501249375312,3.1585014546840413e-06,dissociated,France,1900-2020
Political,Ideational,Political + Ideational,16630,3991,760,916.2437430569328,-0.2695702663642741,-0.31341772293544373,-0.22906117532329145,0.021613960184215047,0.0004997501249375312,0.19042846404409922,-5.3272213747741395,0.07355607909883544,-5.4713912898078565,-5.1830514597404225,0.0,0.0004997501249375312,0.0,dissociated,Sweden,1800-1899
Political,Economic,Political + Economic,16630,3991,1217,1159.1064052305517,0.07028656486773686,0.04145630190539445,0.09868165200203119,0.014338027251630086,0.0004997501249375312,0.30493610623903783,0.10777797885901219,0.03957442573202344,0.030212104424246253,0.18534385329377812,0.006460889106879645,0.0004997501249375312,0.007753066928255574,associated,Sweden,1800-1899
Political,Security,Political + Security,16630,3991,315,216.64985178237322,0.5389490371404402,0.4249657485043722,0.6463475748433731,0.05693119677384575,0.0004997501249375312,0.07892758707090955,-0.023572445515214136,0.0675880743909453,-0.15604507132146694,0.10890018029103866,0.7272647333106232,0.0004997501249375312,0.7272647333106232,associated,Sweden,1800-1899
Ideational,Economic,Ideational + Economic,16630,3991,1292,1193.6498517079067,0.1141803913825235,0.08627239002232481,0.14362368118809501,0.014534050547612963,0.0004997501249375312,0.3237283888749687,-4.069205412994852,0.056419000797571915,-4.179786654558093,-3.958624171431611,0.0,0.0004997501249375312,0.0,associated,Sweden,1800-1899
Ideational,Security,Ideational + Security,16630,3991,281,223.10640531844206,0.33217340680420965,0.20546772225993204,0.44365403739463727,0.061085646014547364,0.0004997501249375312,0.0704084189426209,-2.772773725847879,0.07081095609539051,-2.9115631997948443,-2.633984251900914,0.0,0.0004997501249375312,0.0,associated,Sweden,1800-1899
Economic,Security,Economic + Security,16630,3991,126,282.24374290379285,-1.1603577129239737,-1.3958547656286027,-0.9615887356507956,0.10946074817019322,0.0004997501249375312,0.03157103482836382,-1.2821569775731472,0.09541200042695377,-1.4691644984099765,-1.0951494567363178,3.6155236159325063e-41,0.0004997501249375312,5.423285423898759e-41,dissociated,Sweden,1800-1899
Political,Ideational,Political + Ideational,35832,6236,1549,1632.3963239526213,-0.07563043911836806,-0.09494149721131682,-0.05659618200333688,0.009468642407504895,0.0004997501249375312,0.24839640795381654,-11.99526796963745,1.4145455175465385,-14.767777184028665,-9.222758755246234,2.253007188015031e-17,0.0004997501249375312,6.759021564045094e-17,dissociated,Sweden,1900-2020
Political,Economic,Political + Economic,35832,6236,1014,1078.3991704638297,-0.088791177610005,-0.12244804684134199,-0.05711789459382386,0.01676335192704604,0.0004997501249375312,0.16260423348300193,0.07516131699186017,0.03795092548349154,0.0007775030442167541,0.14954513093950358,0.04764882548055498,0.0004997501249375312,0.04764882548055497,dissociated,Sweden,1900-2020
Political,Security,Political + Security,35832,6236,263,115.20450566184829,1.1873579161773424,1.056573099077249,1.3102779284224784,0.06504035040664628,0.0004997501249375312,0.04217447081462476,0.36661874210821216,0.07050833151585251,0.22842241233714125,0.5048150718792831,1.9966267584174872e-07,0.0004997501249375312,2.395952110100985e-07,associated,Sweden,1900-2020
Ideational,Economic,Ideational + Economic,35832,6236,3044,2896.2045055729577,0.07179279094644168,0.05945642383476104,0.08536493198705065,0.006615659506592831,0.0004997501249375312,0.48813341885824246,-11.166655876114271,1.4144445098774518,-13.938967115474076,-8.394344636754466,2.9094707866170376e-15,0.0004997501249375312,4.364206179925557e-15,associated,Sweden,1900-2020
Ideational,Security,Ideational + Security,35832,6236,245,309.39917008341337,-0.33607586682124607,-0.47509082898340643,-0.21062680380437396,0.06672842448736362,0.0004997501249375312,0.039288005131494545,-6.894742333222482,0.10765500491433172,-7.1057461428545725,-6.683738523590392,0.0,0.0004997501249375312,0.0,dissociated,Sweden,1900-2020
Economic,Security,Economic + Security,35832,6236,121,204.39632426532856,-0.7539377895432472,-0.9780107770904779,-0.5558431570186348,0.11148479637960908,0.0004997501249375312,0.019403463758819756,-0.7971974277459054,0.09621583591548087,-0.985780466140248,-0.6086143893515629,1.1760241449156733e-16,0.0004997501249375312,2.3520482898313465e-16,dissociated,Sweden,1900-2020
Political,Ideational,Political + Ideational,17112,3591,1439,1471.4682637124981,-0.03217877768503725,-0.051364893494776756,-0.014399691598124572,0.009436958115885517,0.0009995002498750624,0.40072403230297965,-11.314500631684238,1.4145609751492045,-14.08704014297668,-8.541961120391797,1.2584669928645406e-15,0.0011994002998500749,1.8877004892968108e-15,dissociated,Italy,1800-1899
Political,Economic,Political + Economic,17112,3591,616,729.469443961736,-0.24373518036796066,-0.2944951645583103,-0.1943282317894094,0.025811124616210632,0.0004997501249375312,0.17153996101364521,-0.48651263178920856,0.05023431171940714,-0.5849718827592465,-0.38805338081917057,3.4966307057916137e-22,0.0007496251874062968,6.993261411583227e-22,dissociated,Italy,1800-1899
Political,Security,Political + Security,17112,3591,539,393.06229212284507,0.455030959497053,0.38784902173715047,0.5224849550323402,0.03410216598576727,0.0004997501249375312,0.15009746588693956,-0.23342748441636252,0.05481842831734079,-0.3408716039183505,-0.12598336491437456,2.060853745776303e-05,0.0007496251874062968,2.060853745776303e-05,associated,Italy,1800-1899
Ideational,Economic,Ideational + Economic,17112,3591,698,552.0622923145881,0.33812300181386223,0.28822063842953294,0.3921444342085863,0.02699623732011694,0.0004997501249375312,0.1943748259537733,-2.655676569826855,0.05157722632381045,-2.7567679334215236,-2.5545852062321868,0.0,0.0007496251874062968,0.0,associated,Italy,1800-1899
Ideational,Security,Ideational + Security,17112,3591,184,297.4694441391112,-0.6915435779951377,-0.8556603901118751,-0.5379252715603219,0.081938297334577,0.0004997501249375312,0.05123920913394597,-3.9787477639761186,0.08156788534955199,-4.138620819261241,-3.8188747086909967,0.0,0.0007496251874062968,0.0,dissociated,Italy,1800-1899
Economic,Security,Economic + Security,17112,3591,115,147.46826374922182,-0.3573949279877053,-0.6120536760063744,-0.1517454321728156,0.11676579859910388,0.0029985007496251873,0.03202450570871623,-0.7721584529125167,0.09920811287122618,-0.96660635414012,-0.5777105516849135,7.070217806956773e-15,0.0029985007496251873,8.484261368348129e-15,dissociated,Italy,1800-1899
Political,Ideational,Political + Ideational,42101,5672,2312,2257.93186791185,0.03413197423932653,0.019195994221480363,0.04771466668851547,0.007300946129999659,0.0004997501249375312,0.4076163610719323,-12.518082032217608,1.414416702398761,-15.29033876891918,-9.745825295516036,8.724571029765116e-19,0.0007496251874062968,1.3086856544647675e-18,associated,Italy,1900-2020
Political,Economic,Political + Economic,42101,5672,1205,1286.4257126340945,-0.0942971259222738,-0.12103423146251628,-0.06769411722497817,0.013552118434488893,0.0004997501249375312,0.21244710860366714,-0.14157024276184882,0.03504527727737239,-0.2102589862254987,-0.07288149929819894,5.353370430816736e-05,0.0007496251874062968,6.424044516980082e-05,dissociated,Italy,1900-2020
Political,Security,Political + Security,42101,5672,262,234.64241972456105,0.15878259792734584,0.034956083881449794,0.27916401395456203,0.06379426765211849,0.015492253873063468,0.04619181946403385,-0.6094430881664034,0.06846133441968863,-0.7436273036289931,-0.4752588727038136,5.484718153337121e-19,0.018490754622688656,1.0969436306674242e-18,associated,Italy,1900-2020
Ideational,Economic,Ideational + Economic,42101,5672,1499,1471.6424194503722,0.026564273436950125,0.005593438643650968,0.04900781328341666,0.01124160522232591,0.018490754622688656,0.26428067700987307,-7.363669917045125,0.13781779126233693,-7.6337927879193055,-7.0935470461709444,0.0,0.018490754622688656,0.0,associated,Italy,1900-2020
Ideational,Security,Ideational + Security,42101,5672,187,268.4257123266637,-0.5203171040900281,-0.6934683214172993,-0.36726836533554247,0.08361773040077448,0.0004997501249375312,0.03296897038081805,-4.873510544156115,0.08078045828960036,-5.031840242403732,-4.715180845908499,0.0,0.0007496251874062968,0.0,dissociated,Italy,1900-2020
Economic,Security,Economic + Security,42101,5672,207,152.9318679524584,0.4355131732925026,0.2612944371740524,0.5803225861989662,0.08056578380753285,0.0004997501249375312,0.0364950634696756,0.09784339977885564,0.07599436697882071,-0.05110555949963294,0.24679235905734423,0.19791707978995954,0.0007496251874062968,0.19791707978995954,associated,Italy,1900-2020
Political,Ideational,Political + Ideational,11017,4426,942,950.8569429151564,-0.013494114036523907,-0.03439140236672635,0.008081127485105932,0.010837100812880108,0.21039480259870064,0.21283325802078626,-10.877956031780474,1.4147467595712855,-13.650859680540194,-8.105052383020755,1.4831551633688933e-14,0.2318840579710145,1.4831551633688933e-14,not distinguishable,Canada,1800-1899
Political,Economic,Political + Economic,11017,4426,2893,2818.2681936863473,0.03775080386206603,0.029499498461985945,0.04671618908131538,0.004449639783486654,0.0004997501249375312,0.6536375960234975,-0.6909067173081482,0.050174825510852686,-0.7892493753094195,-0.592564059306877,3.862802726669464e-43,0.0007496251874062968,7.725605453338928e-43,associated,Canada,1800-1899
Political,Security,Political + Security,11017,4426,162,227.87486304325412,-0.49096414552556406,-0.6446019165565051,-0.3604177346797362,0.07335767072467707,0.0004997501249375312,0.036601897876186174,-2.776801299874683,0.09550550566945946,-2.9639920909868236,-2.5896105087625427,7.483124852993597e-186,0.0007496251874062968,2.244937455898079e-185,dissociated,Canada,1800-1899
Ideational,Economic,Ideational + Economic,11017,4426,259,324.8748633838752,-0.3263682622976424,-0.4276427927538608,-0.23869041723730766,0.04720563692188742,0.0004997501249375312,0.05851784907365567,-2.738012273070024,0.06849576689146754,-2.8722639761773,-2.6037605699627475,0.0,0.0007496251874062968,0.0,dissociated,Canada,1800-1899
Ideational,Security,Ideational + Security,11017,4426,101,26.26819376723788,1.9228880285176153,1.7000445907160293,2.1354897994224977,0.11041561783367985,0.0004997501249375312,0.022819701762313602,-1.124340968400381,0.11047520857423422,-1.34087237720588,-0.9078095595948819,2.5037512128351924e-24,0.0007496251874062968,3.004501455402231e-24,associated,Canada,1800-1899
Economic,Security,Economic + Security,11017,4426,69,77.85694320412836,-0.17304813964857874,-0.47282935651218666,0.09855602488993388,0.146595517196344,0.2318840579710145,0.015589697243560777,-1.5057436943756506,0.1289703901945687,-1.7585256591570053,-1.2529617295942959,1.7084144662850667e-31,0.2318840579710145,2.5626216994276e-31,not distinguishable,Canada,1800-1899
Political,Ideational,Political + Ideational,29621,4911,1841,1879.550288098403,-0.02988985478221608,-0.04257294688532785,-0.01778396134992083,0.006201170465440669,0.0004997501249375312,0.3748727346772551,-12.290374444323325,1.4144612991015275,-15.06271859056232,-9.51803029808433,3.653702499008293e-18,0.0014992503748125937,7.307404998016586e-18,dissociated,Canada,1900-2020
Political,Economic,Political + Economic,29621,4911,1364,1344.7130279932617,0.020537738489323047,0.0012956231713889953,0.040461552643480364,0.010121389512092039,0.038980509745127435,0.2777438403583791,-0.07936634299005718,0.0358367303557062,-0.1496063344872413,-0.009126351492873039,0.02678308500194604,0.046776611694152925,0.02678308500194604,associated,Canada,1900-2020
Political,Security,Political + Security,29621,4911,191,171.73668365986967,0.1529519457112742,0.01060813487178989,0.29477067788800565,0.07271867512074802,0.033483258370814596,0.03889228263082875,-0.5166172298494347,0.08446408048522867,-0.6821668276004829,-0.35106763209838654,9.570488435898418e-10,0.046776611694152925,1.4355732653847627e-09,associated,Canada,1900-2020
Ideational,Economic,Ideational + Economic,29621,4911,1262,1242.7366839069825,0.022182409097973102,0.001478661951517173,0.04505772474689494,0.011069263021968817,0.04847576211894053,0.25697413968641825,-3.1122732961057693,0.04060697742719972,-3.1918629718630807,-3.032683620348458,0.0,0.04847576211894053,0.0,associated,Canada,1900-2020
