domain_a,domain_b,pair,n_elites_period,n_diversified_period,n_pair,expected_qi,assoc_log2,assoc_ci_low,assoc_ci_high,assoc_boot_se,p_value,share_of_diversified,log_or_uncond,se_uncond,ci_low_uncond,ci_high_uncond,p_value_uncond,q_value,q_value_uncond,direction,country,cohort
Ideational,Security,Ideational + Security,431,194,9,12.574040820557062,-0.4607056882077025,-1.3715384246300972,0.09341168773281067,0.37311063782729503,0.18990504747626186,0.04639175257731959,-2.779456718448795,0.35689844031998297,-3.4789776614759615,-2.079935775421628,6.8181396648778426e-15,0.43778110944527737,1.3636279329755685e-14,not distinguishable,Argentina,1800
Economic,Security,Economic + Security,431,194,15,12.322036222818625,0.27364282598502976,-0.2270279160931046,0.6843342530387115,0.23992635951972735,0.24737631184407796,0.07731958762886598,-1.27246200847451,0.30456667472427956,-1.869412690934098,-0.675511326014922,2.9415818756936946e-05,0.43778110944527737,3.529898250832433e-05,not distinguishable,Argentina,1800
Political,Ideational,Political + Ideational,503,203,59,60.389219594532456,-0.03329715389433441,-0.168763816376265,0.09875367723430639,0.06608386039983602,0.6021989005497251,0.29064039408866993,-7.271049443932114,1.4238006295338843,-10.061698677818526,-4.480400210045701,3.276792325903496e-07,0.6276861569215393,3.9321507910841954e-07,not distinguishable,Argentina,1825
Political,Economic,Political + Economic,503,203,32,34.46229483947549,-0.10536016477732961,-0.40806919265338243,0.11991943297673453,0.13487142500123217,0.4207896051974013,0.15763546798029557,-2.4930132373209886,0.24972303340890484,-2.982470382802442,-2.003556091839535,1.8070675569156707e-23,0.6276861569215393,1.0842405341494025e-22,not distinguishable,Argentina,1825
Political,Security,Political + Security,503,203,61,57.14848555390708,0.09330370218569839,-0.04324962465968378,0.23790018657713782,0.07176458754691706,0.1874062968515742,0.30049261083743845,-1.9368156417612485,0.2208646122420298,-2.369710281755627,-1.5039210017668703,1.7987012084758785e-18,0.5622188905547226,5.396103625427635e-18,not distinguishable,Argentina,1825
Ideational,Economic,Ideational + Economic,503,203,18,14.148485561299035,0.3367737519057813,-0.2163567122952567,0.7402117256831838,0.24360642926617168,0.1469265367316342,0.08866995073891626,-1.4205250339584352,0.2743636716955126,-1.95827783048164,-0.8827722374352305,2.2484765923255126e-07,0.5622188905547226,3.372714888488269e-07,not distinguishable,Argentina,1825
Ideational,Security,Ideational + Security,503,203,21,23.462294849366078,-0.15642942065170454,-0.6495918967897969,0.18105484620978549,0.20730180453682132,0.4172913543228386,0.10344827586206896,-1.717896523048312,0.25643047042863737,-2.2205002450884415,-1.2152928010081827,2.094656929175665e-11,0.6276861569215393,4.18931385835133e-11,not distinguishable,Argentina,1825
Economic,Security,Economic + Security,503,203,12,13.389219601419837,-0.15203744548371012,-0.8905211111323114,0.3759793925821847,0.32333499274084715,0.6276861569215393,0.059113300492610835,-1.34497996435615,0.31897958457344044,-1.9701799501200932,-0.7197799785922067,2.4811450940136787e-05,0.6276861569215393,2.4811450940136787e-05,not distinguishable,Argentina,1825
Political,Ideational,Political + Ideational,602,205,96,93.95536057683682,0.030896266908820986,-0.03526000201072341,0.10859402071196377,0.036366063316857905,0.38630684657671166,0.4682926829268293,-7.532260192759323,1.4202698257925717,-10.315989051312764,-4.748531334205882,1.1366495573195247e-07,0.38630684657671166,1.7049743359792871e-07,not distinguishable,Argentina,1850
Political,Economic,Political + Economic,602,205,35,40.735786207889305,-0.21607788986412355,-0.4480679608504182,-0.038750278013828104,0.10536565647762625,0.038980509745127435,0.17073170731707318,-2.1442709724994278,0.24527239100730364,-2.625004858873743,-1.6635370861251126,2.281964922324733e-18,0.21589205397301348,1.3691789533948399e-17,not distinguishable,Argentina,1850
Political,Security,Political + Security,602,205,38,34.308853202259996,0.14540416138300183,-0.07017060532489557,0.34243111776127705,0.10281390958462192,0.1549225387306347,0.18536585365853658,-1.3349152094139416,0.2571955320226941,-1.839018452178422,-0.8308119666494612,2.0998517196710693e-07,0.23238380809595205,2.519822063605283e-07,not distinguishable,Argentina,1850
Ideational,Economic,Ideational + Economic,602,205,20,16.30885321322671,0.2864026099054528,-0.14772451224840613,0.6379016080165305,0.19598345125123612,0.13943028485757122,0.0975609756097561,-1.7833917575102358,0.2663513842467636,-2.3054404706338927,-1.2613430443865792,2.1473650997839232e-11,0.23238380809595205,4.2947301995678464e-11,not distinguishable,Argentina,1850
Ideational,Security,Ideational + Security,602,205,8,13.735786218394763,-0.7439874265244794,-1.8035300415428424,-0.12146869216040158,0.4407643213382263,0.07196401799100449,0.03902439024390244,-2.5628852548996677,0.37547975222677654,-3.2988255692641495,-1.8269449405351856,8.754127152076564e-12,0.21589205397301348,2.6262381456229693e-11,not distinguishable,Argentina,1850
Economic,Security,Economic + Security,602,205,8,5.955360581392377,0.39696515788557013,-0.6571858581463002,1.0737968652485446,0.4433281189192343,0.3168415792103948,0.03902439024390244,-0.37953826659719964,0.3833969520405858,-1.1309962925967478,0.3719197594023486,0.32220562957910304,0.38020989505247377,0.32220562957910304,not distinguishable,Argentina,1850
Political,Ideational,Political + Ideational,1260,293,139,141.49840484356486,-0.025609601075462916,-0.07263823227807832,0.01936429329981181,0.023064478424445176,0.2683658170914543,0.47440273037542663,-8.561236143616112,1.4180204832732404,-11.340556290831664,-5.781915996400561,1.5656292292381642e-09,0.32203898050974517,3.1312584584763283e-09,not distinguishable,Argentina,1875
Political,Economic,Political + Economic,1260,293,33,48.694832450891646,-0.5543456836320153,-0.87597181890809,-0.3274001620114863,0.1419760422733638,0.0014992503748125937,0.11262798634812286,-0.8875656371458457,0.2080761927438316,-1.2953949749237557,-0.47973629936793577,1.9938359153702114e-05,0.0029985007496251873,2.9907538730553173e-05,dissociated,Argentina,1875
Political,Security,Political + Security,1260,293,50,31.806762688443207,0.6444471958288829,0.43227385249723443,0.8708442293577111,0.11511658172769969,0.0004997501249375312,0.17064846416382254,0.49332162301985905,0.21521507201880882,0.07150008186299378,0.9151431641767243,0.02189259483605711,0.0014992503748125937,0.02627111380326853,associated,Argentina,1875
Ideational,Economic,Ideational + Economic,1260,293,56,37.806762704778556,0.5606517584223819,0.3652449916876051,0.7639024001035106,0.10338169758214263,0.0004997501249375312,0.19112627986348124,-2.4329921409061748,0.19898933140457098,-2.8230112304591337,-2.042973051353216,2.2372069271873952e-34,0.0014992503748125937,6.711620781562186e-34,associated,Argentina,1875
Ideational,Security,Ideational + Security,1260,293,9,24.694832466707826,-1.4071284445681365,-2.470111779974459,-0.7891432211790883,0.420117775384992,0.005997001499250375,0.030716723549488054,-4.385541457893632,0.35585417063386193,-5.083015632336002,-3.6880672834512627,6.728534765775281e-35,0.008995502248875561,4.037120859465169e-34,dissociated,Argentina,1875
Economic,Security,Economic + Security,1260,293,6,8.498404845613814,-0.4692295582691223,-1.779454011350006,0.28295872680933604,0.540521956061319,0.3428285857071464,0.020477815699658702,-0.5092704134991842,0.4171556393050937,-1.326895466537168,0.3083546395387994,0.22215557227412552,0.3428285857071464,0.22215557227412552,not distinguishable,Argentina,1875
Political,Ideational,Political + Ideational,2422,464,203,209.01997788071722,-0.04205901800253571,-0.08532490212921753,-0.0019923290621131837,0.021189564993080567,0.04597701149425287,0.4375,-9.353306022203453,1.4167281531871476,-12.130093202450261,-6.576518841956644,4.055185692569301e-11,0.05517241379310345,8.110371385138602e-11,not distinguishable,Argentina,1900
Political,Economic,Political + Economic,2422,464,49,66.41656806488166,-0.4349349309021866,-0.7112078767864901,-0.21943029381307916,0.12444506971127675,0.001999000499750125,0.10560344827586207,-0.5814285154815213,0.16723720959535388,-0.9092134462884149,-0.2536435846746277,0.0005076831020674844,0.00399800099950025,0.0007615246531012267,dissociated,Argentina,1900
Political,Security,Political + Security,2422,464,65,41.56345407718261,0.638927583555728,0.43017225503613976,0.8425977520486556,0.10612164299847184,0.0004997501249375312,0.1400862068965517,0.10931516511520023,0.1596004309864973,-0.20350167961833443,0.4221320098487349,0.49338792829441813,0.0014992503748125937,0.4933879282944182,associated,Argentina,1900
Ideational,Economic,Ideational + Economic,2422,464,104,80.56345405342772,0.3663793883374424,0.2330066159699771,0.5110754943185076,0.07185927193612601,0.0004997501249375312,0.22413793103448276,-3.1839023464115894,0.16871249867163451,-3.514578843807993,-2.853225849015186,1.9469228706741693e-79,0.0014992503748125937,5.840768612022508e-79,associated,Argentina,1900
Ideational,Security,Ideational + Security,2422,464,33,50.41656804033813,-0.6039740841156852,-0.9754225416839855,-0.30406351561269485,0.17342284326470622,0.0029985007496251873,0.07112068965517242,-5.045156885679929,0.22866487555903703,-5.4933400417756415,-4.596973729584216,7.081635598630023e-108,0.004497751124437781,4.248981359178014e-107,dissociated,Argentina,1900
Economic,Security,Economic + Security,2422,464,10,16.01997788345266,-0.6538224274219818,-1.648574448094893,-0.02529298481459674,0.41951203634424455,0.10044977511244378,0.021551724137931036,-0.5791425354880252,0.32565346057069167,-1.2174233182065808,0.059138247230530516,0.07533797041551718,0.10044977511244378,0.09040556449862061,not distinguishable,Argentina,1900
Political,Ideational,Political + Ideational,3711,676,271,285.8578473027572,-0.076866941349723,-0.11484893858591007,-0.040055046682306195,0.018781166723725443,0.0004997501249375312,0.40088757396449703,-9.820815016350863,1.4160893756275736,-12.596350192580907,-7.045279840120819,4.057441793231008e-12,0.0007496251874062968,1.2172325379693024e-11,dissociated,Argentina,1925
Political,Economic,Political + Economic,3711,676,68,94.88704686043178,-0.4776893798452868,-0.7032781309811358,-0.28808277034934754,0.10678672875716957,0.0004997501249375312,0.10059171597633136,-0.6985692220630543,0.13795145389369878,-0.9689540716947038,-0.42818437243140467,4.108143311472757e-07,0.0007496251874062968,6.162214967209135e-07,dissociated,Argentina,1925
Political,Security,Political + Security,3711,676,90,48.25510586577206,0.8923644795591689,0.7023124631226628,1.0785811395205223,0.09502006660885974,0.0004997501249375312,0.13313609467455623,0.4391563910760872,0.13733982366212835,0.16997033669831568,0.7083424454538587,0.0013858135420086297,0.0007496251874062968,0.0013858135420086297,associated,Argentina,1925
Ideational,Economic,Ideational + Economic,3711,676,189,147.25510583397758,0.358989863278941,0.2612523898977433,0.4621613810842648,0.051400249833660455,0.0004997501249375312,0.27958579881656803,-8.955081385603906,1.4178120200676207,-11.733992944936443,-6.176169826271369,2.6819893207578985e-10,0.0007496251874062968,5.363978641515797e-10,associated,Argentina,1925
Ideational,Security,Ideational + Security,3711,676,48,74.88704682469367,-0.6363319103168631,-0.9517075204406159,-0.37767061218669035,0.1452462457465438,0.0009995002498750624,0.07100591715976332,-10.276875607795404,1.4233461468746538,-13.066634055669725,-7.487117159921082,5.19026529197395e-13,0.0011994002998500749,3.11415917518437e-12,dissociated,Argentina,1925
Economic,Security,Economic + Security,3711,676,10,24.857847312367692,-1.2720429489900276,-2.3495097477717053,-0.581490461844078,0.4503676176403447,0.014992503748125937,0.014792899408284023,-1.0696731926513758,0.31984817104187263,-1.6965756078934462,-0.4427707774093055,0.0008248587706289969,0.014992503748125935,0.0009898305247547962,dissociated,Argentina,1925
Political,Ideational,Political + Ideational,834,279,91,90.48579608406978,0.008130401585358707,-0.05483469903896575,0.07203266362374315,0.0334842620733329,0.791104447776112,0.32616487455197135,-3.062231103193301,0.18907887600663137,-3.4328257001662985,-2.691636506220304,5.423549465229728e-59,0.7946026986506748,3.254129679137837e-58,not distinguishable,Australia,1800
Political,Economic,Political + Economic,834,279,111,108.41328862533855,0.03386372060623166,-0.018375266594845827,0.09406114800033079,0.0287112617284618,0.2318840579710145,0.3978494623655914,-2.6684715544901,0.1787029217701363,-3.018729281159567,-2.3182138278206326,2.0269541150306837e-50,0.34782608695652173,6.080862345092051e-50,not distinguishable,Australia,1800
Political,Security,Political + Security,834,279,7,10.10091527550826,-0.49922633071177447,-1.6669455567598082,0.1355864491093643,0.4558482837809276,0.223888055972014,0.025089605734767026,-1.8094920850653793,0.428245717878106,-2.648853692106467,-0.9701304780242915,2.3855969620753007e-05,0.34782608695652173,3.578395443112951e-05,not distinguishable,Australia,1800
Ideational,Economic,Ideational + Economic,834,279,55,58.10091529028323,-0.07843542687829805,-0.20094486501048384,0.027672267248253404,0.058127563745487144,0.1619190404797601,0.1971326164874552,-1.7923277098488992,0.17217660636943044,-2.1297938583329827,-1.4548615613648155,2.2364098634624427e-25,0.34782608695652173,4.472819726924885e-25,not distinguishable,Australia,1800
Ideational,Security,Ideational + Security,834,279,8,5.413288631108534,0.5235021436326086,-0.4517614441211658,1.190951148698591,0.42024588124616435,0.16391804097951024,0.02867383512544803,-0.49192555125101217,0.41153510823712103,-1.2985343633957693,0.31468326089374504,0.23195310254134205,0.34782608695652173,0.23195310254134205,not distinguishable,Australia,1800
Economic,Security,Economic + Security,834,279,7,6.4857960936915875,0.10246606265432635,-0.9317972430928242,0.781585057724532,0.4565469260023937,0.7946026986506747,0.025089605734767026,-0.7348520659744057,0.427675748444553,-1.5730965329257296,0.10339240097691826,0.08575178765297525,0.7946026986506748,0.1029021451835703,not distinguishable,Australia,1800
Political,Ideational,Political + Ideational,1532,452,122,126.7948048568729,-0.05539179208395566,-0.09837553407206819,-0.018311672355940205,0.020592350425595457,0.009995002498750625,0.26991150442477874,-4.165539627561255,0.17714401583735487,-4.512741898602471,-3.81833735652004,2.8656406350787124e-122,0.05997001499250375,1.7193843810472274e-121,not distinguishable,Australia,1825
Political,Economic,Political + Economic,1532,452,231,227.78232143613943,0.02019305430814656,-0.005760869609003443,0.050147555611942826,0.014230223957373738,0.14742628685657172,0.5110619469026548,-1.7677258304987384,0.12018273150669158,-2.003283984251854,-1.532167676745623,5.6727165869086114e-49,0.22113943028485758,1.7018149760725833e-48,not distinguishable,Australia,1825
Political,Security,Political + Security,1532,452,13,11.422873677605189,0.17922740798860523,-0.4215529204855612,0.6003359524850229,0.25891655025655935,0.4482758620689655,0.028761061946902654,-0.8851481335469206,0.38230886315397794,-1.6344735053287174,-0.13582276176512387,0.020598175938872,0.4662668665667166,0.0247178111266464,not distinguishable,Australia,1825
Ideational,Economic,Ideational + Economic,1532,452,77,75.42287370655318,0.029661710497153226,-0.05864670076749079,0.11206914370342629,0.04224191469517349,0.4662668665667166,0.17035398230088494,-1.6346675122975036,0.13825621070143643,-1.905649685272319,-1.3636853393226882,2.95249233835498e-32,0.4662668665667166,5.90498467670996e-32,not distinguishable,Australia,1825
Ideational,Security,Ideational + Security,1532,452,7,3.7823214432094017,0.8084975030334602,-0.3894357258683105,1.4764917359976693,0.4936549093900788,0.07496251874062969,0.015486725663716814,-0.42825509969735936,0.43011318259511944,-1.2712769375837933,0.41476673818907467,0.3194056438254048,0.22113943028485758,0.3194056438254048,not distinguishable,Australia,1825
Economic,Security,Economic + Security,1532,452,2,6.79480487961985,-1.544941294774716,-3.9580421345296615,-0.4269650503115145,0.9249871799933607,0.12493753123438281,0.004424778761061947,-1.6986752649708303,0.6649349770155626,-3.001947819921333,-0.3954027100203277,0.010629502109932068,0.22113943028485758,0.0159442531648981,not distinguishable,Australia,1825
Political,Ideational,Political + Ideational,2363,652,161,172.6249138754719,-0.100279188544659,-0.16072227047307766,-0.04753271061664685,0.02931652411748162,0.001999000499750125,0.2469325153374233,-9.591810709600837,1.4170645061636318,-12.369257141681555,-6.814364277520119,1.2986472781115405e-11,0.005997001499250375,2.597294556223081e-11,dissociated,Australia,1850
Political,Economic,Political + Economic,2363,652,314,302.7597341468374,0.052506062838805816,0.017743871051476182,0.09025238939597227,0.018575410639040904,0.006496751624187906,0.4815950920245399,-0.88371116942753,0.0943173617683571,-1.0685731984935098,-0.6988491403615501,7.284291647693248e-21,0.012993503248375811,2.1852874943079744e-20,associated,Australia,1850
Political,Security,Political + Security,2363,652,32,31.615351940056687,0.017176611657828293,-0.3537691322927587,0.3218009399675229,0.17030245304670105,0.9170414792603698,0.049079754601226995,-1.210362126205771,0.2224906743658207,-1.6464438479627796,-0.7742804044487626,5.326329084395801e-08,0.92103948025987,7.989493626593701e-08,not distinguishable,Australia,1850
Ideational,Economic,Ideational + Economic,2363,652,113,112.61535197667743,0.004897552825256891,-0.09208614991116613,0.09763997745602186,0.04810269610475688,0.92103948025987,0.17331288343558282,-1.7247261580687718,0.11411214787479033,-1.9483859679033608,-1.5010663482341828,1.3033288925997975e-51,0.92103948025987,7.819973355598785e-51,not distinguishable,Australia,1850
Ideational,Security,Ideational + Security,2363,652,23,11.75973415562998,0.938733061327043,0.40642414194448695,1.33596859470997,0.2349920424615651,0.001999000499750125,0.0352760736196319,-0.8632059965342281,0.2427557844146747,-1.3390073339869906,-0.3874046590814657,0.0003767422327175913,0.005997001499250375,0.00038278012692511315,associated,Australia,1850
Economic,Security,Economic + Security,2363,652,9,20.624913905326533,-1.1529460431410101,-2.2133000385165347,-0.4850213486875946,0.4447347088362995,0.01999000499750125,0.013803680981595092,-1.228060562756456,0.3457689247943234,-1.9057676553533298,-0.5503534701595821,0.0003827801269251132,0.029985007496251874,0.00038278012692511315,dissociated,Australia,1850
Political,Ideational,Political + Ideational,3190,814,152,165.87380081111553,-0.12561902484351142,-0.25012600282440706,-0.018998375045032465,0.059063896988270546,0.035982008995502246,0.18673218673218672,-4.088738498097233,0.1124187505341453,-4.309079249144157,-3.868397747050308,1.2413011746877093e-289,0.044977511244377814,7.447807048126256e-289,dissociated,Australia,1875
Political,Economic,Political + Economic,3190,814,270,242.52150286126232,0.15454462302419966,0.08684143519062602,0.23276223022102283,0.03722559565884351,0.0004997501249375312,0.3316953316953317,-0.5417521047315998,0.09038861232303447,-0.7189137848847474,-0.36459042457845225,2.0526097231900547e-09,0.0014992503748125937,2.463131667828066e-09,associated,Australia,1875
Political,Security,Political + Security,3190,814,122,135.60469628753344,-0.15193509861217205,-0.3026036006516034,-0.015253012062564743,0.07385477622775455,0.04097951024487756,0.14987714987714987,-1.7458064990848838,0.10982148532474235,-1.961056610321379,-1.5305563878483888,6.672091150493172e-57,0.044977511244377814,2.0016273451479514e-56,dissociated,Australia,1875
Ideational,Economic,Ideational + Economic,3190,814,100,113.60469632151508,-0.18316266989222557,-0.3709725980072752,-0.01790381767857514,0.09038878041254787,0.04397801099450275,0.12285012285012285,-1.6291505317229031,0.11593005936564846,-1.8563734480795742,-1.4019276153662321,7.396997133560155e-45,0.044977511244377814,1.479399426712031e-44,dissociated,Australia,1875
Ideational,Security,Ideational + Security,3190,814,91,63.52150287609486,0.515215199496,0.3075321342984165,0.7337700386406658,0.10610001011100514,0.0004997501249375312,0.11179361179361179,-1.5930763191174824,0.12077966242062335,-1.8298044574619041,-1.3563481807730606,1.0026701179216103e-39,0.0014992503748125937,1.5040051768824154e-39,associated,Australia,1875
Economic,Security,Economic + Security,3190,814,79,92.87380084247869,-0.23206294974350974,-0.48030964233605916,-0.03357621489116828,0.11277406884473623,0.044977511244377814,0.09705159705159705,-0.4363681652998984,0.13039095167709827,-0.691934430587011,-0.1808019000127858,0.0008180507799229596,0.044977511244377814,0.0008180507799229597,dissociated,Australia,1875
Political,Ideational,Political + Ideational,3703,834,216,234.56443903479706,-0.1186892770818785,-0.19300588552914968,-0.04768653752583629,0.037176251513740294,0.001999000499750125,0.2589928057553957,-10.29612126665245,1.4162413689643831,-13.071954349822642,-7.5202881834822595,3.5940010647458814e-13,0.0074962518740629685,5.391001597118822e-13,dissociated,Australia,1900
Political,Economic,Political + Economic,3703,834,252,234.56443903479706,0.1032270858305535,0.03125619638947214,0.1753201527646884,0.03612274896373642,0.005997001499250375,0.302158273381295,-0.4098779105377754,0.09002843329361897,-0.5863336397932686,-0.23342218128228223,5.294649412905969e-06,0.011244377811094452,6.353579295487163e-06,associated,Australia,1900
Political,Security,Political + Security,3703,834,109,107.87112189410601,0.014950502900662214,-0.14537596586309953,0.16374820547650384,0.0809200902322138,0.8570714642678661,0.13069544364508393,-1.2170020637600505,0.11614579288218033,-1.444647817809124,-0.989356309710977,1.087628024001436e-25,0.857071464267866,2.175256048002872e-25,not distinguishable,Australia,1900
Ideational,Economic,Ideational + Economic,3703,834,135,133.8711219263683,0.01206973377626794,-0.11874965873667383,0.13293334812447125,0.06458639798855924,0.8570714642678661,0.1618705035971223,-1.8676852068956953,0.104596932011455,-2.0726951936381472,-1.6626752201532435,2.5948310183094645e-71,0.857071464267866,1.5568986109856788e-70,not distinguishable,Australia,1900
Ideational,Security,Ideational + Security,3703,834,79,61.56443905496579,0.3571879734956367,0.12422852833655514,0.5570711495122497,0.11006070817413514,0.0024987506246876563,0.09472422062350119,-2.0334733918481174,0.12944690999816397,-2.287189335444519,-1.779757448251716,1.3136262479778943e-55,0.0074962518740629685,3.940878743933683e-55,associated,Australia,1900
Economic,Security,Economic + Security,3703,834,43,61.56443905496579,-0.5127514859399903,-0.9124708480834339,-0.1987842188436853,0.18008882590236017,0.0074962518740629685,0.05155875299760192,-0.601724216669148,0.1665472014519331,-0.9281567315149368,-0.2752917018233591,0.0003027505925903151,0.011244377811094452,0.0003027505925903151,dissociated,Australia,1900
Political,Ideational,Political + Ideational,5938,1091,449,459.8334500340717,-0.03435816376514505,-0.05750552735241587,-0.010282583582379776,0.011832681903546072,0.001999000499750125,0.41154903758020167,-10.565438496162171,1.4152512456340438,-13.339330937604897,-7.791546054719445,8.303720529859465e-14,0.01199400299850075,1.2455580794789199e-13,dissociated,Australia,1925
Political,Economic,Political + Economic,5938,1091,256,255.66491274746156,0.0018859445002954644,-0.052012395500942776,0.05224919272589495,0.026826315867925925,0.9430284857571214,0.23464711274060496,-0.6627571296013695,0.08001076622399433,-0.8195782314003983,-0.5059360278023406,1.197584291508264e-16,0.9435282358820589,2.395168583016528e-16,not distinguishable,Australia,1925
Political,Security,Political + Security,5938,1091,54,43.50163727369848,0.3086990233510169,0.021279152998030747,0.5470595432198799,0.13408943409582866,0.02498750624687656,0.04949587534372136,-0.3838810018238139,0.17000659154513204,-0.7170939212522727,-0.05066808239535514,0.023943415887689595,0.05497251374312843,0.02873209906522751,not distinguishable,Australia,1925
Ideational,Economic,Ideational + Economic,5938,1091,273,262.5016372183458,0.05646905251380394,0.00333044892765043,0.11020373090858498,0.026948077267844917,0.04147926036981509,0.25022914757103576,-2.296530777852187,0.08243470514237175,-2.4581027999312353,-2.1349587557731384,8.43052317511863e-171,0.06221889055472264,5.058313905071178e-170,not distinguishable,Australia,1925
Ideational,Security,Ideational + Security,5938,1091,45,44.66491269102724,0.010664125420397666,-0.33432512529034136,0.26935861375424797,0.15365044707960612,0.9435282358820589,0.04124656278643447,-2.0905644021357093,0.1788892781460383,-2.4411873873019445,-1.7399414169694742,1.4966557648395834e-31,0.9435282358820589,4.48996729451875e-31,not distinguishable,Australia,1925
Economic,Security,Economic + Security,5938,1091,14,24.8334500353951,-0.8049906635855666,-1.6247908392183104,-0.22056173719740138,0.35831597012644056,0.027486256871564217,0.012832263978001834,-0.4852817763907666,0.2782907040884402,-1.0307315564041093,0.06016800362257618,0.0811949441750469,0.05497251374312843,0.0811949441750469,not distinguishable,Australia,1925
Political,Ideational,Political + Ideational,757,165,46,51.136004831234516,-0.15114666488264902,-0.31382093662856375,-0.024804076202187525,0.07469112128074429,0.04847576211894053,0.2787878787878788,-6.966081668378223,0.8353370848567581,-8.60334235469747,-5.328820982058977,7.476555837118562e-17,0.05817091454272864,1.4953111674237124e-16,not distinguishable,Austria,1775
Political,Economic,Political + Economic,757,165,14,21.94683271729433,-0.6304589925919711,-1.26252836606976,-0.21417319152881442,0.26922445486233304,0.025987006496751622,0.08484848484848485,-1.0505586484175164,0.2926738299043192,-1.6241993550299823,-0.47691794180505076,0.00033128705615679627,0.038980509745127435,0.0004969305842351944,dissociated,Austria,1775
Political,Security,Political + Security,757,165,27,13.917162455627617,0.9316443732003187,0.5844300925210801,1.2791580950825157,0.17548391100077335,0.0004997501249375312,0.16363636363636364,0.04735477626539606,0.2375368848109512,-0.41821751796406825,0.5129270704948604,0.8419830480736348,0.0029985007496251873,0.8419830480736348,associated,Austria,1775
Ideational,Economic,Ideational + Economic,757,165,54,40.9171624502377,0.3960275140713722,0.21188185064947515,0.6082277118098579,0.10191845595259029,0.0009995002498750624,0.32727272727272727,-2.919925345693422,0.23207443681905263,-3.374791241858765,-2.465059449528079,2.6573887879486425e-36,0.0029985007496251873,7.972166363845928e-36,associated,Austria,1775
