country,cohort,n_classified,n_crossings,usable,country_in_panel
Bosnia and Herzegovina,1675,1,0,False,False
Bosnia and Herzegovina,1700,1,0,False,False
Bosnia and Herzegovina,1750,1,0,False,False
Bosnia and Herzegovina,1775,3,0,False,False
Bosnia and Herzegovina,1800,12,3,False,False
Bosnia and Herzegovina,1825,7,2,False,False
Bosnia and Herzegovina,1850,14,4,False,False
Bosnia and Herzegovina,1875,46,13,False,False
Bosnia and Herzegovina,1900,66,10,False,False
Bosnia and Herzegovina,1925,167,37,False,False
Botswana,1800,1,0,False,False
Botswana,1825,1,1,False,False
Botswana,1850,1,0,False,False
Botswana,1875,2,0,False,False
Botswana,1900,15,4,False,False
Botswana,1925,33,9,False,False
Brazil,1500,6,3,False,True
Brazil,1525,5,3,False,True
Brazil,1550,9,3,False,True
Brazil,1575,12,2,False,True
Brazil,1600,10,1,False,True
Brazil,1625,17,7,False,True
Brazil,1650,24,7,False,True
Brazil,1675,9,2,False,True
Brazil,1700,19,5,False,True
Brazil,1725,52,17,False,True
Brazil,1750,141,48,False,True
Brazil,1775,362,98,False,True
Brazil,1800,675,164,True,True
Brazil,1825,1037,286,True,True
Brazil,1850,1211,397,True,True
Brazil,1875,1905,527,True,True
Brazil,1900,3870,935,True,True
Brazil,1925,6524,1424,True,True
British Empire,1750,2,0,False,False
British Empire,1775,1,0,False,False
British Empire,1800,1,0,False,False
British Empire,1825,3,2,False,False
British Empire,1850,1,0,False,False
British North America,1575,1,1,False,False
British North America,1600,5,3,False,False
British North America,1625,4,3,False,False
British North America,1650,1,1,False,False
British North America,1700,2,1,False,False
British North America,1725,1,0,False,False
Brunei,1650,1,0,False,False
Brunei,1775,2,0,False,False
Brunei,1850,1,0,False,False
Brunei,1875,2,0,False,False
Brunei,1900,7,2,False,False
Brunei,1925,14,2,False,False
Bulgaria,1500,1,1,False,False
Bulgaria,1575,1,0,False,False
Bulgaria,1600,2,1,False,False
Bulgaria,1675,1,0,False,False
Bulgaria,1700,2,0,False,False
Bulgaria,1725,1,0,False,False
Bulgaria,1750,3,0,False,False
Bulgaria,1775,12,2,False,False
Bulgaria,1800,31,10,False,False
Bulgaria,1825,67,33,False,False
Bulgaria,1850,175,76,False,False
Bulgaria,1875,269,96,False,False
Bulgaria,1900,278,68,False,False
Bulgaria,1925,398,67,False,False
Burkina Faso,1825,1,1,False,False
Burkina Faso,1875,3,1,False,False
Burkina Faso,1900,22,6,False,False
Burkina Faso,1925,54,15,False,False
Burundi,1900,7,0,False,False
Burundi,1925,34,7,False,False
Cambodia,1525,1,0,False,False
Cambodia,1550,1,0,False,False
Cambodia,1650,1,0,False,False
Cambodia,1700,1,0,False,False
Cambodia,1775,2,0,False,False
Cambodia,1850,4,0,False,False
Cambodia,1875,6,2,False,False
Cambodia,1900,49,8,False,False
Cambodia,1925,115,23,False,False
Cameroon,1625,1,0,False,False
Cameroon,1825,1,1,False,False
Cameroon,1850,7,3,False,False
Cameroon,1875,5,1,False,False
Cameroon,1900,40,13,False,False
Cameroon,1925,187,37,False,False
Canada,1550,4,2,False,True
Canada,1575,6,1,False,True
Canada,1600,27,6,False,True
Canada,1625,47,14,False,True
Canada,1650,65,23,False,True
Canada,1675,58,19,False,True
Canada,1700,78,30,False,True
Canada,1725,187,87,False,True
Canada,1750,462,243,True,True
Canada,1775,775,418,True,True
Canada,1800,1380,674,True,True
Canada,1825,2466,1267,True,True
Canada,1850,3267,1314,True,True
Canada,1875,3904,1171,True,True
Canada,1900,5177,1266,True,True
Canada,1925,9783,1903,True,True
Cape Verde,1575,3,2,False,False
Cape Verde,1850,2,0,False,False
Cape Verde,1875,2,0,False,False
Cape Verde,1900,18,0,False,False
Cape Verde,1925,41,6,False,False
Central African Republic,1825,1,0,False,False
Central African Republic,1875,2,0,False,False
Central African Republic,1900,11,4,False,False
Central African Republic,1925,41,6,False,False
Chad,1900,11,2,False,False
Chad,1925,43,13,False,False
Chile,1500,5,2,False,False
Chile,1525,5,1,False,False
Chile,1550,7,3,False,False
Chile,1575,2,1,False,False
Chile,1600,2,0,False,False
Chile,1625,9,1,False,False
Chile,1650,7,5,False,False
Chile,1675,8,3,False,False
Chile,1700,10,4,False,False
Chile,1725,33,16,False,False
Chile,1750,88,24,False,False
Chile,1775,207,73,False,False
Chile,1800,211,66,False,False
Chile,1825,348,113,False,False
Chile,1850,443,123,True,False
Chile,1875,611,151,True,False
Chile,1900,1017,282,True,False
Chile,1925,1646,496,True,False
China,1500,31,10,False,False
China,1525,31,4,False,False
China,1550,39,7,False,False
China,1575,55,7,False,False
China,1600,73,10,False,False
China,1625,38,4,False,False
China,1650,29,6,False,False
China,1675,45,13,False,False
China,1700,31,8,False,False
China,1725,38,7,False,False
China,1750,45,11,False,False
China,1775,62,12,False,False
China,1800,97,23,False,False
China,1825,143,39,False,False
China,1850,272,80,False,False
China,1875,859,322,True,False
China,1900,1679,497,True,False
China,1925,1810,451,True,False
Colombia,1525,1,0,False,False
Colombia,1550,5,1,False,False
Colombia,1600,2,0,False,False
Colombia,1625,2,0,False,False
Colombia,1650,4,1,False,False
Colombia,1675,1,1,False,False
Colombia,1700,1,0,False,False
Colombia,1725,8,2,False,False
Colombia,1750,35,14,False,False
Colombia,1775,70,30,False,False
Colombia,1800,62,22,False,False
Colombia,1825,96,34,False,False
Colombia,1850,116,42,False,False
Colombia,1875,159,55,False,False
Colombia,1900,440,121,True,False
Colombia,1925,958,203,True,False
Comoros,1800,1,0,False,False
Comoros,1850,2,0,False,False
Comoros,1900,5,2,False,False
Comoros,1925,14,0,False,False
Congo,1625,1,0,False,False
Congo,1650,3,0,False,False
Congo,1675,1,1,False,False
Congo,1775,1,0,False,False
Congo,1800,1,1,False,False
Congo,1825,4,1,False,False
Congo,1850,16,5,False,False
Congo,1875,11,3,False,False
Congo,1900,80,17,False,False
Congo,1925,354,73,False,False
Costa Rica,1575,1,0,False,False
Costa Rica,1600,3,0,False,False
Costa Rica,1650,3,2,False,False
Costa Rica,1675,2,2,False,False
Costa Rica,1700,1,0,False,False
Costa Rica,1725,3,2,False,False
Costa Rica,1750,10,4,False,False
Costa Rica,1775,34,13,False,False
Costa Rica,1800,45,11,False,False
Costa Rica,1825,42,13,False,False
Costa Rica,1850,49,13,False,False
Costa Rica,1875,72,27,False,False
Costa Rica,1900,102,32,False,False
Costa Rica,1925,161,43,False,False
Croatia,1500,10,1,False,False
Croatia,1525,6,2,False,False
Croatia,1550,8,3,False,False
Croatia,1575,16,1,False,False
Croatia,1600,14,3,False,False
Croatia,1625,11,4,False,False
Croatia,1650,4,0,False,False
Croatia,1675,10,2,False,False
Croatia,1700,15,4,False,False
Croatia,1725,9,4,False,False
Croatia,1750,20,2,False,False
Croatia,1775,11,3,False,False
Croatia,1800,45,13,False,False
Croatia,1825,69,15,False,False
Croatia,1850,111,22,False,False
Croatia,1875,215,47,False,False
Croatia,1900,327,67,False,False
Croatia,1925,490,98,False,False
Cuba,1500,2,0,False,False
Cuba,1525,1,0,False,False
Cuba,1550,2,1,False,False
Cuba,1575,2,0,False,False
Cuba,1600,1,1,False,False
Cuba,1625,3,1,False,False
Cuba,1675,1,0,False,False
Cuba,1700,3,2,False,False
Cuba,1725,12,8,False,False
Cuba,1750,12,6,False,False
Cuba,1775,13,3,False,False
Cuba,1800,50,17,False,False
Cuba,1825,107,47,False,False
Cuba,1850,140,51,False,False
Cuba,1875,166,38,False,False
Cuba,1900,446,61,False,False
Cuba,1925,751,130,True,False
Cyprus,1500,1,0,False,False
Cyprus,1525,1,0,False,False
Cyprus,1550,1,0,False,False
Cyprus,1600,1,0,False,False
Cyprus,1725,1,0,False,False
Cyprus,1750,1,1,False,False
Cyprus,1825,2,1,False,False
Cyprus,1850,8,2,False,False
Cyprus,1875,9,2,False,False
Cyprus,1900,34,8,False,False
Cyprus,1925,108,25,False,False
Czech Republic,1500,11,2,False,False
Czech Republic,1525,17,4,False,False
Czech Republic,1550,22,4,False,False
Czech Republic,1575,16,2,False,False
Czech Republic,1600,15,2,False,False
Czech Republic,1625,15,3,False,False
Czech Republic,1650,21,5,False,False
Czech Republic,1675,27,2,False,False
Czech Republic,1700,39,0,False,False
Czech Republic,1725,51,7,False,False
Czech Republic,1750,67,8,False,False
Czech Republic,1775,64,10,False,False
Czech Republic,1800,125,26,False,False
Czech Republic,1825,190,28,False,False
Czech Republic,1850,300,42,False,False
Czech Republic,1875,452,77,False,False
Czech Republic,1900,744,126,True,False
Czech Republic,1925,1044,163,True,False
Czechoslovakia,1825,4,1,False,False
Czechoslovakia,1850,44,16,False,False
Czechoslovakia,1875,143,46,False,False
Czechoslovakia,1900,196,30,False,False
Czechoslovakia,1925,150,27,False,False
Denmark,1500,28,5,False,False
Denmark,1525,42,3,False,False
Denmark,1550,41,7,False,False
Denmark,1575,62,6,False,False
Denmark,1600,86,10,False,False
Denmark,1625,107,16,False,False
Denmark,1650,97,21,False,False
Denmark,1675,101,14,False,False
Denmark,1700,137,26,False,False
Denmark,1725,201,34,False,False
Denmark,1750,234,42,False,False
Denmark,1775,300,64,False,False
Denmark,1800,635,95,False,False
Denmark,1825,729,137,True,False
Denmark,1850,1030,167,True,False
Denmark,1875,1052,154,True,False
Denmark,1900,1102,180,True,False
Denmark,1925,1346,197,True,False
Denmark-Norway,1550,1,0,False,False
Denmark-Norway,1575,1,0,False,False
Denmark-Norway,1600,2,1,False,False
Denmark-Norway,1650,3,1,False,False
Denmark-Norway,1675,3,0,False,False
Denmark-Norway,1700,2,1,False,False
Denmark-Norway,1725,1,0,False,False
Denmark-Norway,1750,1,1,False,False
Djibouti,1875,1,0,False,False
Djibouti,1900,6,1,False,False
Djibouti,1925,21,1,False,False
Dominica,1525,1,0,False,False
Dominica,1600,1,0,False,False
Dominica,1650,1,1,False,False
Dominica,1675,1,1,False,False
Dominica,1700,3,0,False,False
Dominica,1725,4,1,False,False
Dominica,1750,3,2,False,False
Dominica,1775,10,4,False,False
Dominica,1800,32,16,False,False
Dominica,1825,24,14,False,False
Dominica,1850,29,12,False,False
Dominica,1875,40,6,False,False
Dominica,1900,118,24,False,False
Dominica,1925,191,44,False,False
Dominican Republic,1900,1,1,False,False
Dominican Republic,1925,1,0,False,False
Dominican republic,1725,1,0,False,False
Dominican republic,1800,4,2,False,False
Dominican republic,1825,2,1,False,False
Dominican republic,1850,5,2,False,False
Dominican republic,1875,5,1,False,False
Dominican republic,1900,10,4,False,False
Dominican republic,1925,21,5,False,False
East Timor,1900,4,1,False,False
East Timor,1925,28,7,False,False
Ecuador,1575,2,0,False,False
Ecuador,1625,2,1,False,False
Ecuador,1650,1,0,False,False
Ecuador,1700,4,0,False,False
Ecuador,1725,7,3,False,False
Ecuador,1750,10,5,False,False
Ecuador,1775,20,7,False,False
Ecuador,1800,32,13,False,False
Ecuador,1825,42,15,False,False
Ecuador,1850,51,20,False,False
Ecuador,1875,84,36,False,False
Ecuador,1900,172,43,False,False
Ecuador,1925,369,91,False,False
Egypt,1500,2,0,False,False
Egypt,1525,3,1,False,False
Egypt,1550,1,0,False,False
Egypt,1575,2,0,False,False
Egypt,1600,2,0,False,False
Egypt,1700,3,0,False,False
Egypt,1725,3,1,False,False
Egypt,1750,8,1,False,False
Egypt,1775,10,4,False,False
Egypt,1800,20,8,False,False
Egypt,1825,28,9,False,False
Egypt,1850,67,22,False,False
Egypt,1875,151,39,False,False
Egypt,1900,326,69,False,False
Egypt,1925,550,122,True,False
El Salvador,1500,1,1,False,False
El Salvador,1550,3,0,False,False
El Salvador,1600,2,1,False,False
El Salvador,1625,1,0,False,False
El Salvador,1650,2,0,False,False
El Salvador,1675,1,0,False,False
El Salvador,1700,2,1,False,False
El Salvador,1725,2,1,False,False
El Salvador,1750,14,4,False,False
El Salvador,1775,19,14,False,False
El Salvador,1800,21,15,False,False
El Salvador,1825,17,9,False,False
El Salvador,1850,15,4,False,False
El Salvador,1875,37,18,False,False
El Salvador,1900,63,26,False,False
El Salvador,1925,112,41,False,False
England,1575,1,0,False,False
England,1775,2,1,False,False
Equatorial Guinea,1825,4,1,False,False
Equatorial Guinea,1850,1,0,False,False
Equatorial Guinea,1875,1,1,False,False
Equatorial Guinea,1900,4,1,False,False
Equatorial Guinea,1925,27,9,False,False
Eritrea,1800,1,0,False,False
Eritrea,1825,2,0,False,False
Eritrea,1900,14,6,False,False
Eritrea,1925,34,8,False,False
Estonia,1500,1,1,False,False
Estonia,1550,3,0,False,False
Estonia,1575,2,0,False,False
Estonia,1600,4,2,False,False
Estonia,1625,2,1,False,False
Estonia,1650,8,3,False,False
Estonia,1675,6,3,False,False
Estonia,1700,5,1,False,False
Estonia,1725,9,1,False,False
Estonia,1750,16,2,False,False
Estonia,1775,29,8,False,False
Estonia,1800,31,3,False,False
Estonia,1825,49,8,False,False
Estonia,1850,94,15,False,False
Estonia,1875,295,73,False,False
Estonia,1900,331,41,False,False
Estonia,1925,375,82,False,False
Ethiopia,1525,1,0,False,False
Ethiopia,1550,1,0,False,False
Ethiopia,1575,4,0,False,False
Ethiopia,1600,1,0,False,False
Ethiopia,1675,1,0,False,False
Ethiopia,1725,3,0,False,False
Ethiopia,1750,2,2,False,False
Ethiopia,1775,6,1,False,False
Ethiopia,1800,6,0,False,False
Ethiopia,1825,7,1,False,False
Ethiopia,1850,19,5,False,False
Ethiopia,1875,27,8,False,False
Ethiopia,1900,57,17,False,False
Ethiopia,1925,111,22,False,False
Federated States of Micronesia,1925,13,4,False,False
Fiji,1750,1,0,False,False
Fiji,1800,3,0,False,False
Fiji,1825,2,1,False,False
Fiji,1850,6,2,False,False
Fiji,1875,10,3,False,False
Fiji,1900,19,8,False,False
Fiji,1925,97,30,False,False
Finland,1500,3,0,False,False
Finland,1525,4,2,False,False
Finland,1550,5,0,False,False
Finland,1575,6,1,False,False
Finland,1600,19,4,False,False
Finland,1625,17,2,False,False
Finland,1650,13,1,False,False
Finland,1675,30,5,False,False
Finland,1700,47,8,False,False
Finland,1725,61,14,False,False
Finland,1750,65,13,False,False
Finland,1775,109,17,False,False
Finland,1800,181,42,False,False
Finland,1825,318,78,False,False
Finland,1850,782,273,True,False
Finland,1875,1388,402,True,False
Finland,1900,1426,262,True,False
Finland,1925,1755,335,True,False
France,1500,399,103,False,True
France,1525,437,92,False,True
France,1550,496,105,False,True
France,1575,761,129,True,True
France,1600,986,146,True,True
France,1625,1064,182,True,True
France,1650,1200,211,True,True
France,1675,1151,186,True,True
France,1700,1680,362,True,True
France,1725,4220,1209,True,True
France,1750,7048,1709,True,True
France,1775,4873,1148,True,True
France,1800,6980,1451,True,True
France,1825,7099,1428,True,True
France,1850,8700,1568,True,True
France,1875,10047,1910,True,True
France,1900,13805,2769,True,True
France,1925,17244,2286,True,True
Gabon,1725,1,1,False,False
Gabon,1775,1,1,False,False
Gabon,1800,1,0,False,False
Gabon,1850,2,0,False,False
Gabon,1875,3,0,False,False
Gabon,1900,15,2,False,False
Gabon,1925,59,13,False,False
Gambia,1750,1,0,False,False
Gambia,1775,1,0,False,False
Gambia,1800,4,3,False,False
Gambia,1825,5,2,False,False
Gambia,1850,1,1,False,False
Gambia,1875,4,3,False,False
Gambia,1900,26,6,False,False
Gambia,1925,55,9,False,False
Georgia,1500,2,0,False,False
Georgia,1525,2,0,False,False
Georgia,1550,9,1,False,False
Georgia,1575,7,1,False,False
Georgia,1600,2,0,False,False
Georgia,1625,2,0,False,False
Georgia,1650,9,0,False,False
Georgia,1675,9,1,False,False
Georgia,1700,8,1,False,False
Georgia,1725,12,3,False,False
Georgia,1750,24,5,False,False
Georgia,1775,25,4,False,False
Georgia,1800,45,13,False,False
Georgia,1825,44,10,False,False
Georgia,1850,84,25,False,False
Georgia,1875,140,31,False,False
Georgia,1900,126,24,False,False
Georgia,1925,243,54,False,False
Germany,1500,673,131,True,True
Germany,1525,789,119,False,True
Germany,1550,849,166,True,True
Germany,1575,1039,175,True,True
Germany,1600,1082,185,True,True
Germany,1625,1230,219,True,True
Germany,1650,1434,283,True,True
Germany,1675,1749,314,True,True
Germany,1700,2148,407,True,True
Germany,1725,2585,490,True,True
Germany,1750,4084,813,True,True
Germany,1775,5567,1174,True,True
Germany,1800,10204,2160,True,True
Germany,1825,11943,2526,True,True
Germany,1850,17071,3320,True,True
Germany,1875,28190,5681,True,True
Germany,1900,29891,6214,True,True
Germany,1925,40571,6418,True,True
Ghana,1625,2,1,False,False
Ghana,1650,1,1,False,False
Ghana,1700,3,0,False,False
Ghana,1725,4,1,False,False
Ghana,1750,4,1,False,False
Ghana,1775,3,1,False,False
Ghana,1800,4,0,False,False
Ghana,1825,3,2,False,False
Ghana,1850,12,6,False,False
Ghana,1875,20,5,False,False
Ghana,1900,122,25,False,False
Ghana,1925,292,88,False,False
Greece,1500,13,2,False,False
Greece,1525,12,2,False,False
Greece,1550,14,3,False,False
Greece,1575,9,2,False,False
Greece,1600,12,2,False,False
Greece,1625,11,2,False,False
Greece,1650,11,2,False,False
Greece,1675,4,1,False,False
Greece,1700,13,2,False,False
Greece,1725,16,2,False,False
Greece,1750,71,32,False,False
Greece,1775,133,72,False,False
Greece,1800,113,34,False,False
Greece,1825,137,36,False,False
Greece,1850,262,76,False,False
Greece,1875,392,126,True,False
Greece,1900,571,113,False,False
Greece,1925,860,176,True,False
Grenada,1500,5,1,False,False
Grenada,1525,4,1,False,False
Grenada,1550,1,1,False,False
Grenada,1575,4,2,False,False
Grenada,1600,1,1,False,False
Grenada,1625,5,2,False,False
Grenada,1650,4,2,False,False
Grenada,1675,1,0,False,False
Grenada,1700,1,0,False,False
Grenada,1725,4,2,False,False
Grenada,1750,7,4,False,False
Grenada,1775,5,2,False,False
Grenada,1800,4,3,False,False
Grenada,1825,5,2,False,False
Grenada,1850,4,1,False,False
Grenada,1875,2,0,False,False
Grenada,1900,18,5,False,False
Grenada,1925,30,11,False,False
Guatemala,1525,1,0,False,False
Guatemala,1550,2,0,False,False
Guatemala,1575,2,0,False,False
Guatemala,1625,2,1,False,False
Guatemala,1675,2,0,False,False
Guatemala,1700,1,1,False,False
Guatemala,1725,3,0,False,False
Guatemala,1750,7,4,False,False
Guatemala,1775,19,9,False,False
Guatemala,1800,22,9,False,False
Guatemala,1825,18,5,False,False
Guatemala,1850,33,19,False,False
Guatemala,1875,60,18,False,False
Guatemala,1900,102,34,False,False
Guatemala,1925,156,51,False,False
Guinea,1675,1,0,False,False
Guinea,1700,1,0,False,False
Guinea,1725,1,0,False,False
Guinea,1750,2,0,False,False
Guinea,1775,1,0,False,False
Guinea,1800,1,0,False,False
Guinea,1825,5,3,False,False
Guinea,1850,7,2,False,False
Guinea,1875,1,0,False,False
Guinea,1900,31,6,False,False
Guinea,1925,126,32,False,False
Guinea-Bissau,1900,1,1,False,False
Guinea-Bissau,1925,10,3,False,False
Guyana,1875,1,1,False,False
Guyana,1900,11,3,False,False
Guyana,1925,30,8,False,False
Haiti,1725,4,4,False,False
Haiti,1750,19,16,False,False
Haiti,1775,22,11,False,False
Haiti,1800,19,9,False,False
Haiti,1825,25,10,False,False
Haiti,1850,36,13,False,False
Haiti,1875,34,15,False,False
Haiti,1900,93,30,False,False
Haiti,1925,178,36,False,False
Holy Roman Empire,1500,10,2,False,False
Holy Roman Empire,1525,13,4,False,False
Holy Roman Empire,1550,17,4,False,False
Holy Roman Empire,1575,15,1,False,False
Holy Roman Empire,1600,12,2,False,False
Holy Roman Empire,1625,11,1,False,False
Holy Roman Empire,1650,8,2,False,False
