shock_type,outcome,dropped,event_time,att,n_groups,n_treated_cells,min_controls
revolutionary rupture,Economic + Security,Brazil,0,-0.17587045041519042,2.0,4.0,6.0
revolutionary rupture,Economic + Security,Brazil,1,0.4439934597405514,2.0,4.0,6.0
revolutionary rupture,Economic + Security,Brazil,2,-0.19854882949875363,2.0,4.0,6.0
revolutionary rupture,Economic + Security,Brazil,3,-0.03382946958725225,1.0,1.0,6.0
revolutionary rupture,Ideational + Economic,Brazil,-3,-0.22783897525287838,2.0,4.0,3.0
revolutionary rupture,Ideational + Economic,Brazil,-2,-0.17583208264523414,2.0,4.0,4.0
revolutionary rupture,Ideational + Economic,Brazil,0,0.2947898571081684,2.0,4.0,6.0
revolutionary rupture,Ideational + Economic,Brazil,1,0.08719805913262753,2.0,4.0,6.0
revolutionary rupture,Ideational + Economic,Brazil,2,-0.18167049779021782,2.0,4.0,6.0
revolutionary rupture,Ideational + Economic,Brazil,3,-0.8486302068571017,1.0,1.0,6.0
revolutionary rupture,Ideational + Security,Brazil,-3,0.11010882334069379,2.0,4.0,3.0
revolutionary rupture,Ideational + Security,Brazil,-2,0.4246176914560543,2.0,4.0,4.0
revolutionary rupture,Ideational + Security,Brazil,0,-0.40708550085256534,2.0,4.0,6.0
revolutionary rupture,Ideational + Security,Brazil,1,-0.581110887843463,2.0,4.0,6.0
revolutionary rupture,Ideational + Security,Brazil,2,-0.03224143179602103,2.0,4.0,6.0
revolutionary rupture,Ideational + Security,Brazil,3,0.34629626308329675,1.0,1.0,6.0
revolutionary rupture,Political + Economic,Brazil,-3,-0.21553290855222443,2.0,4.0,3.0
revolutionary rupture,Political + Economic,Brazil,-2,0.003985670693049587,2.0,4.0,4.0
revolutionary rupture,Political + Economic,Brazil,0,-0.20997413230943893,2.0,4.0,6.0
revolutionary rupture,Political + Economic,Brazil,1,-0.32156505128202617,2.0,4.0,6.0
revolutionary rupture,Political + Economic,Brazil,2,-0.00717154002278339,2.0,4.0,6.0
revolutionary rupture,Political + Economic,Brazil,3,0.3023668966551755,1.0,1.0,6.0
revolutionary rupture,Political + Ideational,Brazil,-3,-0.008387692324091318,2.0,4.0,3.0
revolutionary rupture,Political + Ideational,Brazil,-2,-0.08743667730611228,2.0,4.0,4.0
revolutionary rupture,Political + Ideational,Brazil,0,-0.027316466344472486,2.0,4.0,6.0
revolutionary rupture,Political + Ideational,Brazil,1,0.03803266339445838,2.0,4.0,6.0
revolutionary rupture,Political + Ideational,Brazil,2,0.0038707874881893437,2.0,4.0,6.0
revolutionary rupture,Political + Ideational,Brazil,3,0.0172175401596926,1.0,1.0,6.0
revolutionary rupture,Political + Security,Brazil,-3,0.22517018942211728,2.0,4.0,3.0
revolutionary rupture,Political + Security,Brazil,-2,0.09926073613710504,2.0,4.0,4.0
revolutionary rupture,Political + Security,Brazil,0,0.2324763851972326,2.0,4.0,6.0
revolutionary rupture,Political + Security,Brazil,1,0.10948716300264819,2.0,4.0,6.0
revolutionary rupture,Political + Security,Brazil,2,0.19667582708544773,2.0,4.0,6.0
revolutionary rupture,Political + Security,Brazil,3,0.37329744455572456,1.0,1.0,6.0
revolutionary rupture,Economic + Security,Canada,-3,0.12079543535823697,2.0,4.0,3.0
revolutionary rupture,Economic + Security,Canada,-2,-0.26873273351098637,2.0,4.0,4.0
revolutionary rupture,Economic + Security,Canada,0,-0.18194589764864125,2.0,4.0,6.0
revolutionary rupture,Economic + Security,Canada,1,0.44406205801001075,2.0,4.0,6.0
revolutionary rupture,Economic + Security,Canada,2,-0.19871468505774809,2.0,4.0,6.0
revolutionary rupture,Economic + Security,Canada,3,-0.03382946958725225,1.0,1.0,6.0
revolutionary rupture,Ideational + Economic,Canada,-3,-0.22256674800976806,2.0,4.0,3.0
revolutionary rupture,Ideational + Economic,Canada,-2,-0.1733051385958889,2.0,4.0,4.0
revolutionary rupture,Ideational + Economic,Canada,0,0.29675951473365236,2.0,4.0,6.0
revolutionary rupture,Ideational + Economic,Canada,1,0.09310520913117933,2.0,4.0,6.0
revolutionary rupture,Ideational + Economic,Canada,2,-0.17434005021963975,2.0,4.0,6.0
revolutionary rupture,Ideational + Economic,Canada,3,-0.8486302068571017,1.0,1.0,6.0
revolutionary rupture,Ideational + Security,Canada,-3,0.10740545053459022,2.0,4.0,3.0
revolutionary rupture,Ideational + Security,Canada,-2,0.413077692147238,2.0,4.0,4.0
revolutionary rupture,Ideational + Security,Canada,0,-0.4222904218899333,2.0,4.0,6.0
revolutionary rupture,Ideational + Security,Canada,1,-0.6187364270117429,2.0,4.0,6.0
revolutionary rupture,Ideational + Security,Canada,2,-0.08449206393372782,2.0,4.0,6.0
revolutionary rupture,Ideational + Security,Canada,3,0.34629626308329675,1.0,1.0,6.0
revolutionary rupture,Political + Economic,Canada,-3,-0.21410889644971265,2.0,4.0,3.0
revolutionary rupture,Political + Economic,Canada,-2,0.004744229452040977,2.0,4.0,4.0
revolutionary rupture,Political + Economic,Canada,0,-0.19563633949953316,2.0,4.0,6.0
revolutionary rupture,Political + Economic,Canada,1,-0.30554593697768073,2.0,4.0,6.0
revolutionary rupture,Political + Economic,Canada,2,-0.005938305257997253,2.0,4.0,6.0
