pair,sector_a,sector_b,n_pair_total,expected_total,assoc_pooled,assoc_pooled_ci_low,assoc_pooled_ci_high,q_pooled,direction_pooled,share_of_diversified,log_or_uncond,assoc_Pre_1000,assoc_1000_1399,assoc_1400_1599,assoc_1600_1799,assoc_1800_1899,assoc_1900_2020,n_Pre_1000,n_1000_1399,n_1400_1599,n_1600_1799,n_1800_1899,n_1900_2020,slope_per_century,slope_ci_low,slope_ci_high,q_slope,trend,assoc_first,assoc_last,n_centuries
Nobility + Culture (core),Nobility,Culture (core),4225,9565.531356059557,-1.1787984558424958,-1.2215942658144918,-1.1407193732968488,0.0005267636452044,dissociated,0.005841606061444,-1.6509019112832484,-0.8204923032254223,-1.3976193061608526,-1.7265664477566796,-1.059311367168747,-0.6218578737744317,-0.3484120613297066,167,228,306,758,877,1889,0.1281711003714592,0.0394160946361626,0.2169261061067558,0.0356771303448184,converging,-0.8013515692922465,-0.3392046154766173,12
Military + Culture (core),Military,Culture (core),6530,15820.299952068564,-1.2765571897460255,-1.3078256882009192,-1.241683075248513,0.0005267636452044,dissociated,0.0090285651079832,-1.961723229811164,-1.671089617770523,-0.8862295045100681,-1.683013419207755,-1.2668765643467352,-0.6704581410031655,-1.333825515381779,28,36,125,797,2386,3158,-0.0641709683690106,-0.250751686052427,0.1224097493144057,0.550833550701733,flat,-1.389485415034759,-1.3317148873459286,12
Nobility + Small business,Nobility,Small business,955,2391.9157785868947,-1.3241403593724357,-1.4168699712414523,-1.2381325039145226,0.0005267636452044,dissociated,0.0013204103641843,-0.8949546231684709,-1.430667548642451,-0.1492855477177047,-1.187574532938241,-1.2623473485899095,-1.4198821383020834,-1.7185581075833605,14,137,146,309,219,130,-0.2015432962654529,-0.2610151183334973,-0.1420714741974085,0.0002645175422645,diverging,-0.6893527640684257,-1.7037094064999578,12
Kinship + Small business,Kinship,Small business,1165,3164.9430251537906,-1.4414584242432609,-1.5226681966693607,-1.357507966553446,0.0005267636452044,dissociated,0.0016107623814395,-0.8222396933288936,-0.9016687745155192,-1.6857031570042929,-0.9298405266406746,-0.8859757465069694,-1.2843715948296544,-1.853300351252555,16,27,106,300,401,315,0.1755839307110005,-0.0696218264372726,0.4207896878592737,0.2479775687031849,flat,-0.0660508531255456,-1.8388743837483763,12
Religion + Exploration & Invention,Religion,Exploration & Invention,486,1380.739179828539,-1.5054514528329352,-1.629870270646218,-1.3798091156202206,0.0005267636452044,dissociated,0.0006719575256477,-1.4433343906571894,0.4673988824744493,0.6274639750884488,-1.0639580543661251,-0.949737651880657,-1.4837039988562062,-2.250560322294401,15,22,47,121,178,103,-0.3177470416373645,-0.4499491858569786,-0.1855448974177505,0.0023061188424576,diverging,-1.2772583678794227,-2.2511894992562045,12
Administration & Law + Small business,Administration & Law,Small business,1944,5724.811696714693,-1.557955003601395,-1.6230407117625436,-1.497832391955926,0.0005267636452044,dissociated,0.002687830102591,-1.114137442633268,-0.6643004524869132,0.5351016845107253,-0.6810236783490308,-1.494235866461426,-1.7984050889596626,-1.5799860428042218,1,13,77,278,752,823,-0.12415430444021,-0.1600293490310959,-0.088279259849324,0.000251709858172,diverging,-0.2849777742064405,-1.5859762083554991,12
Kinship + Culture (periphery),Kinship,Culture (periphery),2214,6541.402455853744,-1.562729250808708,-1.6228159640493114,-1.506122984198614,0.0005267636452044,dissociated,0.003061139839062,-0.9963718925777229,-2.7330826000816346,-3.072509655841259,-1.5779992761555215,-0.7090578586224364,-0.5464530597312447,-1.611553372001416,4,6,56,242,785,1121,0.2076629994491674,-0.0449740853052717,0.4603000842036066,0.1996778435413078,flat,-2.760135137232085,-1.598618991569272,12
Religion + Culture (periphery),Religion,Culture (periphery),1992,5889.873086381269,-1.5637792906253534,-1.6274056206797032,-1.5025658071450976,0.0005267636452044,dissociated,0.0027541962779636,-1.5032166057826666,-0.5214636037743131,1.1559638877726073,-1.0531517981612224,-0.7219505657742968,-0.4406413384384149,-2.0355448964333656,8,43,87,264,860,730,-0.3483353983939122,-0.5968182152846475,-0.0998525815031768,0.0391177989950208,diverging,-0.1617971305865107,-2.034848748639731,12
Administration & Law + Culture (core),Administration & Law,Culture (core),7625,22894.14463615134,-1.586106329575497,-1.6162940153690002,-1.5554079300312451,0.0005267636452044,dissociated,0.0105425434836711,-2.0299532103454707,0.6606544905491664,0.4545465749653344,-0.630897692913857,-0.8164668946155847,-1.4247531857873834,-1.743533762307808,23,48,243,948,2242,4121,-0.3179123169502125,-0.3881952530559099,-0.2476293808445152,5.2369018538034415e-05,diverging,0.0661757880471323,-1.741704569283472,12
Nobility + Academia,Nobility,Academia,1897,6360.568029949749,-1.7451691302069925,-1.8097414333552264,-1.684701038272545,0.0005267636452044,dissociated,0.002622846555872,-1.626709574510311,-2.151629100598341,-3.643356141978278,-2.6002131130306774,-1.757432277785384,-1.295992705641264,-0.8262938497883585,66,37,144,391,489,770,0.3421538644428746,0.263365402160261,0.4209423267254882,5.905174642018568e-05,converging,-3.36345591813991,-0.8143489001462354,12
Politics + Culture (core),Politics,Culture (core),16656,56541.780123973054,-1.763244780793349,-1.7840274259262303,-1.7432893478692226,0.0005267636452044,dissociated,0.0230290628542985,-2.4722980818314437,-0.8782483107350134,-0.4536328751632741,-1.6049002952489544,-1.9231773273120127,-1.768879384894997,-1.6895219233667351,79,65,204,1077,4298,10933,-0.0079135636145716,-0.079833775081816,0.0640066478526728,0.8487453364614376,flat,-0.6583651179903692,-1.6897893588913149,12
Administration & Law + Kinship,Administration & Law,Kinship,1192,4101.604477520046,-1.782374970414028,-1.8650701569976955,-1.7001340495842414,0.0005267636452044,dissociated,0.0016480933550866,-1.235699154174899,-2.6753920720749087,-1.624437916005871,-1.4442040774795126,-1.3890900711854166,-1.8754049977435152,-1.955775089176055,7,44,106,305,385,345,-0.0528696541003486,-0.1575453106031243,0.051806002402427,0.4083688631708229,flat,-2.969329063593642,-1.94099368331938,12
Nobility + Exploration & Invention,Nobility,Exploration & Invention,335,1158.928301903814,-1.7890289361249765,-1.9483005317962647,-1.643746123450166,0.0005267636452044,dissociated,0.0004631805989547,-1.3032351576974532,-1.3647252813412292,-0.4092291704132217,-1.325123386162433,-1.7712334677266055,-1.8716495938051243,-2.1612576160381454,13,52,60,83,80,47,-0.2209696872723175,-0.2776842941007187,-0.1642550804439163,0.0001147461533032,diverging,-1.135841902757602,-2.146091387542589,12
Administration & Law + Exploration & Invention,Administration & Law,Exploration & Invention,710,2773.77922658811,-1.965206445244032,-2.0768792225180337,-1.860930070796324,0.0005267636452044,dissociated,0.0009816663440533,-1.4831859084241843,0.2062547430280727,-0.0048538226594648,-0.8459003730171267,-1.7832692978013844,-1.9631496785238904,-2.2801746263297,2,4,31,87,336,250,-0.15121211104109,-0.1851149250725582,-0.1173092970096217,5.2369018538034415e-05,diverging,-0.4839852087771205,-2.280563368256497,12
Administration & Law + Culture (periphery),Administration & Law,Culture (periphery),2847,11832.218461616714,-2.0550138110396827,-2.1066308269299894,-2.0031974485334616,0.0005267636452044,dissociated,0.0039363437767884,-1.5673995016386986,1.4856343757169774,-0.3981640692083797,-2.481780129235249,-1.6905271149864023,-1.3926376651339372,-2.3248660339658613,6,4,18,173,1169,1477,-0.1705067282287014,-0.2361417073360733,-0.1048717491213294,0.0015264906365005,diverging,-0.2013179006964829,-2.3258831283708323,12
Religion + Big business,Religion,Big business,520,2488.831485776765,-2.257788287452406,-2.383581500848723,-2.1383355326260336,0.0005267636452044,dissociated,0.00071896689987,-2.047361480706821,1.037654613442628,0.2677072884416695,-2.896427010322824,-2.397258741409665,-2.1464716374112944,-1.990625166259569,8,12,8,61,170,261,-0.0956420449210991,-0.1877284904703189,-0.0035555993718794,0.1172462048576933,flat,-0.8903375206728944,-1.9916599060401936,12
Military + Culture (periphery),Military,Culture (periphery),1659,8176.293464381967,-2.3007865707225608,-2.3727281793407684,-2.2328720314417576,0.0005267636452044,dissociated,0.0022937809363161,-1.902432306694661,-1.7705912109175712,-1.279179698022934,-2.2321996613075883,-2.312646089592023,-1.7970464649612492,-2.1783247080489323,3,4,23,129,557,943,-0.0253810297420891,-0.1082237519938918,0.0574616925097135,0.5918900719882129,flat,-1.2581213048659328,-2.177029175770481,12
Nobility + Culture (periphery),Nobility,Culture (periphery),917,4943.6857548117605,-2.4299528837562208,-2.5179477883949333,-2.3361431223838576,0.0005267636452044,dissociated,0.0012678704753477,-1.774926743647487,-1.1161579151085437,-3.164013536457601,-3.0495869709524754,-1.530077212306916,-1.4886003803260195,-1.5872214489704666,17,10,33,183,245,429,0.2592194391245268,0.1270059468942586,0.3914329313547949,0.0079223366361656,converging,-3.009757557230814,-1.5706996170805203,12
