period_type,period,portfolio,n,share_of_classified,kind
century,800,Political + Economic,1,0.0013386880856760374,cross-domain
century,900,Ideational only,553,0.5266666666666666,single domain
century,900,Security only,193,0.1838095238095238,single domain
century,900,Political only,166,0.1580952380952381,single domain
century,900,Political + Ideational,48,0.045714285714285714,cross-domain
century,900,Economic only,33,0.03142857142857143,single domain
century,900,Ideational + Economic,17,0.01619047619047619,cross-domain
century,900,Ideational + Security,15,0.014285714285714285,cross-domain
century,900,Political + Security,15,0.014285714285714285,cross-domain
century,900,Political + Economic,5,0.004761904761904762,cross-domain
century,900,Economic + Security,5,0.004761904761904762,cross-domain
century,1000,Ideational only,759,0.6180781758957655,single domain
century,1000,Political only,155,0.1262214983713355,single domain
century,1000,Security only,134,0.10912052117263844,single domain
century,1000,Political + Ideational,61,0.0496742671009772,cross-domain
century,1000,Economic only,59,0.04804560260586319,single domain
century,1000,Ideational + Economic,28,0.02280130293159609,cross-domain
century,1000,Political + Security,11,0.008957654723127036,cross-domain
century,1000,Ideational + Security,11,0.008957654723127036,cross-domain
century,1000,Political + Economic,5,0.004071661237785016,cross-domain
century,1000,Economic + Security,5,0.004071661237785016,cross-domain
century,1100,Ideational only,1134,0.6093498119290703,single domain
century,1100,Political only,274,0.14723267060720044,single domain
century,1100,Security only,182,0.09779688339602365,single domain
century,1100,Political + Ideational,88,0.047286405158516925,cross-domain
century,1100,Economic only,73,0.03922622246104245,single domain
century,1100,Ideational + Economic,39,0.02095647501343364,cross-domain
century,1100,Ideational + Security,29,0.015583019881783988,cross-domain
century,1100,Political + Security,28,0.015045674368619023,cross-domain
century,1100,Economic + Security,8,0.004298764105319721,cross-domain
century,1100,Political + Economic,6,0.0032240730789897904,cross-domain
century,1200,Ideational only,1462,0.5758172508861756,single domain
century,1200,Political only,443,0.17447814100039385,single domain
century,1200,Security only,251,0.09885781803859787,single domain
century,1200,Political + Ideational,137,0.05395825128003151,cross-domain
century,1200,Economic only,87,0.034265458842063806,single domain
century,1200,Ideational + Economic,67,0.026388341866876722,cross-domain
century,1200,Political + Security,39,0.01536037810161481,cross-domain
century,1200,Political + Economic,24,0.009452540370224497,cross-domain
century,1200,Ideational + Security,20,0.007877116975187082,cross-domain
century,1200,Economic + Security,9,0.0035447026388341868,cross-domain
century,1300,Ideational only,1672,0.5099115584019518,single domain
century,1300,Political only,682,0.20799024092711194,single domain
century,1300,Security only,348,0.10612991765782251,single domain
century,1300,Political + Ideational,196,0.05977432143946325,cross-domain
century,1300,Economic only,125,0.03812137846904544,single domain
century,1300,Ideational + Economic,72,0.021957913998170174,cross-domain
century,1300,Political + Security,69,0.021043000914913082,cross-domain
century,1300,Political + Economic,62,0.018908203720646537,cross-domain
century,1300,Ideational + Security,32,0.009759072888075633,cross-domain
century,1300,Economic + Security,21,0.006404391582799634,cross-domain
century,1400,Ideational only,4571,0.5557446808510639,single domain
century,1400,Political only,1198,0.14565349544072947,single domain
century,1400,Political + Ideational,591,0.07185410334346505,cross-domain
century,1400,Security only,586,0.07124620060790274,single domain
century,1400,Economic only,426,0.051793313069908815,single domain
century,1400,Ideational + Economic,418,0.05082066869300912,cross-domain
century,1400,Political + Economic,174,0.021155015197568388,cross-domain
century,1400,Political + Security,125,0.015197568389057751,cross-domain
century,1400,Ideational + Security,78,0.009483282674772036,cross-domain
century,1400,Economic + Security,58,0.007051671732522797,cross-domain
century,1500,Ideational only,12004,0.546804536965335,single domain
century,1500,Political only,3700,0.16854188493599964,single domain
century,1500,Security only,1467,0.06682457978408418,single domain
century,1500,Political + Ideational,1416,0.064501434883615,cross-domain
century,1500,Ideational + Economic,1057,0.04814831685874368,cross-domain
century,1500,Economic only,882,0.04017674121987883,single domain
century,1500,Political + Security,511,0.023277000865485356,cross-domain
century,1500,Political + Economic,492,0.0224115155104086,cross-domain
century,1500,Economic + Security,215,0.009793650070605384,cross-domain
century,1500,Ideational + Security,209,0.009520338905844304,cross-domain
century,1600,Ideational only,17019,0.5275573465592065,single domain
century,1600,Political only,5547,0.17194668319900805,single domain
century,1600,Security only,2446,0.07582145071295722,single domain
century,1600,Ideational + Economic,1692,0.05244885306881587,cross-domain
century,1600,Political + Ideational,1656,0.051332920024798515,cross-domain
century,1600,Economic only,1405,0.04355238685678859,single domain
century,1600,Political + Security,1141,0.03536887786732796,cross-domain
century,1600,Political + Economic,737,0.022845629262244264,cross-domain
century,1600,Ideational + Security,370,0.011469311841289522,cross-domain
century,1600,Economic + Security,247,0.007656540607563546,cross-domain
century,1700,Ideational only,32790,0.3767017060141306,single domain
century,1700,Political only,20210,0.2321787581136194,single domain
century,1700,Security only,7391,0.08491010396921132,single domain
century,1700,Political + Security,5634,0.06472514216784422,cross-domain
century,1700,Political + Ideational,5428,0.06235855017519674,cross-domain
century,1700,Ideational + Economic,4946,0.05682118444482739,cross-domain
century,1700,Economic only,4668,0.05362743408581768,single domain
century,1700,Political + Economic,3581,0.041139640415876845,cross-domain
century,1700,Ideational + Security,1353,0.015543684301223505,cross-domain
century,1700,Economic + Security,1044,0.011993796312252284,cross-domain
century,1800,Ideational only,162061,0.4443923439727981,single domain
century,1800,Political only,76890,0.2108423823626193,single domain
century,1800,Political + Ideational,27056,0.07419107162443786,cross-domain
century,1800,Economic only,20362,0.05583525282439399,single domain
century,1800,Political + Economic,19955,0.0547192058791269,cross-domain
century,1800,Ideational + Economic,19722,0.05408028956893715,cross-domain
century,1800,Security only,19369,0.053112317648349235,single domain
century,1800,Political + Security,9758,0.02675770538554349,cross-domain
century,1800,Ideational + Security,5829,0.01598387627509049,cross-domain
century,1800,Economic + Security,3678,0.010085554458703521,cross-domain
century,1900,Ideational only,584199,0.6133155420429468,single domain
century,1900,Political only,150347,0.1578403109206468,single domain
century,1900,Political + Ideational,59095,0.06204030126211778,cross-domain
century,1900,Ideational + Economic,49417,0.05187994868381546,cross-domain
century,1900,Economic only,40185,0.04218782479428383,single domain
century,1900,Political + Economic,26566,0.027890052345027852,cross-domain
century,1900,Security only,18673,0.01960366436191768,single domain
century,1900,Political + Security,11656,0.012236936314599286,cross-domain
century,1900,Ideational + Security,8371,0.008788211555380116,cross-domain
century,1900,Economic + Security,4017,0.004217207719264356,cross-domain
all,3500BC-2020AD,Ideational only,823132,0.5542144176329077,single domain
all,3500BC-2020AD,Political only,261346,0.17596414814475672,single domain
all,3500BC-2020AD,Political + Ideational,96140,0.06473102019023406,cross-domain
all,3500BC-2020AD,Ideational + Economic,77656,0.05228575102863341,cross-domain
all,3500BC-2020AD,Economic only,68445,0.046083988734351676,single domain
all,3500BC-2020AD,Political + Economic,51656,0.034779962335622326,cross-domain
all,3500BC-2020AD,Security only,51539,0.03470118628650378,single domain
all,3500BC-2020AD,Political + Security,29577,0.01991418123743034,cross-domain
all,3500BC-2020AD,Ideational + Security,16404,0.011044806066159762,cross-domain
all,3500BC-2020AD,Economic + Security,9328,0.006280538343400284,cross-domain
