layer,period,block_a,block_b,n_cells,mean_assoc
sector,1800-1899,Military block,Academia block,12,-0.35431295659883427
sector,1800-1899,Military block,Big business block,15,-0.19747543964494527
sector,1800-1899,Military block,Military block,6,1.0500262306313282
sector,1800-1899,Military block,Politics block,3,-0.5166511531480421
sector,1800-1899,Politics block,Academia block,4,-0.8898311141515374
sector,1800-1899,Politics block,Big business block,5,0.37957176256465947
sector,1800-1899,Politics block,Military block,3,-0.5166511531480421
sector,1800-1899,Politics block,Politics block,0,
sector,1900-2020,Academia block,Academia block,6,0.1589714426211323
sector,1900-2020,Academia block,Big business block,18,-0.8332902401153207
sector,1900-2020,Academia block,Military block,12,-0.703837282958661
sector,1900-2020,Big business block,Academia block,18,-0.8332902401153208
sector,1900-2020,Big business block,Big business block,30,0.19627641036328744
sector,1900-2020,Big business block,Military block,24,-0.5526426636433507
sector,1900-2020,Military block,Academia block,12,-0.703837282958661
sector,1900-2020,Military block,Big business block,24,-0.5526426636433507
sector,1900-2020,Military block,Military block,12,1.0413448771338047
domain,all,Political block,Political block,12,-0.0634850070256169
domain,Pre-1000,Political block,Political block,12,-0.2884642086332411
domain,1000-1399,Political block,Political block,12,-0.029676553388186793
domain,1400-1599,Political block,Political block,12,-0.05697193963994546
domain,1600-1799,Political block,Political block,12,-0.16689210394980636
domain,1800-1899,Political block,Political block,12,-0.03775538854931415
domain,1900-2020,Political block,Political block,12,-0.042238982649310995
