era,country,path,n_elites,share_Politics,share_Administration & Law,share_Military,share_Business,share_Nobility & Kinship,share_Religion,share_Learning & Culture,military_minus_business
1900-2020,Italy,capital-intensive,40783,0.21962582448569257,0.04877032096706961,0.037270431307162295,0.08707059313929824,0.009758968197533286,0.04698035946350195,0.7310153740529142,-0.049800161832135946
1900-2020,Netherlands,capital-intensive,7699,0.18547863358877775,0.04766852838030913,0.022340563709572672,0.0767632160020782,0.018963501753474478,0.027016495648785558,0.8203662813352384,-0.05442265229250552
1900-2020,Poland,coercion-intensive,7306,0.21626060771968245,0.06173008486175746,0.07062688201478237,0.06665754174650972,0.01601423487544484,0.0758280865042431,0.7508896797153025,0.003969340268272656
1900-2020,Portugal,capital-intensive,4574,0.1974202011368605,0.07608220376038478,0.025142107564494972,0.07367730651508526,0.022081329252295584,0.03563620463489287,0.8194140795802362,-0.04853519895059029
1900-2020,Romania,coercion-intensive,2777,0.24846957148001442,0.05401512423478574,0.02628736046092906,0.0658984515664386,0.018005041411595247,0.03997119193374145,0.8080662585523947,-0.03961109110550954
1900-2020,Russia,coercion-intensive,11609,0.15935911792574725,0.0365233870273064,0.11189594280299768,0.07606167628564045,0.01800327332242226,0.02067361529847532,0.7881815832543716,0.03583426651735723
1900-2020,Spain,capitalized coercion,25389,0.22371893339635276,0.07684430265075426,0.030485643388869197,0.09606522509748316,0.036393713813068655,0.04864311315924219,0.7811650714876521,-0.06557958170861397
1900-2020,Sweden,coercion-intensive,35142,0.11245802743156337,0.03796027545387286,0.03650902054521655,0.14486938705822094,0.052045984861419384,0.023903022024927438,0.8377724659951056,-0.1083603665130044
1900-2020,Switzerland,capital-intensive,12748,0.18042045811107624,0.06338249137119548,0.013649199874490116,0.09413241292751805,0.010197678067147787,0.031455914653278946,0.8010668340131786,-0.08048321305302793
1900-2020,Turkey,coercion-intensive,3968,0.24168346774193547,0.10383064516129033,0.04838709677419355,0.08492943548387097,0.02444556451612903,0.015877016129032258,0.7409274193548387,-0.03654233870967742
1900-2020,United Kingdom,capitalized coercion,65275,0.13780160857908846,0.050494063577173495,0.05795480658751436,0.10466487935656836,0.054170815779394865,0.039632324779777864,0.7846801991574109,-0.046710072769054
