group_a,group_b,pair,n_elites_period,n_diversified_period,n_pair,expected_qi,assoc_log2,assoc_ci_low,assoc_ci_high,assoc_boot_se,p_value,share_of_diversified,log_or_uncond,se_uncond,ci_low_uncond,ci_high_uncond,p_value_uncond,q_value,q_value_uncond,direction,country,era
Administration & Law,Learning & Culture,Administration & Law + Learning & Culture,2463,952,61,68.5290946163506,-0.1666181516080879,-0.48399982667074465,0.0877473195868058,0.14078330522929564,0.21539230384807595,0.06407563025210083,-1.666346661789759,0.1542524187275073,-1.9686814024956734,-1.3640119210838448,3.341323459658209e-27,0.23806517793734708,1.7541948163205595e-26,not distinguishable,Austria,1600-1799
Military,Business,Military + Business,2463,952,3,31.627925125162214,-3.198400985002401,-5.966972323318668,-2.1405908403593226,0.8808413863641643,0.0004997501249375312,0.0031512605042016808,-2.872518348720243,0.5406505681105209,-3.9321934622168637,-1.812843235223622,1.0778919030910317e-07,0.0011660836248542396,2.2635729964911665e-07,dissociated,Austria,1600-1799
Military,Nobility & Kinship,Military + Nobility & Kinship,2463,952,124,48.43065025911661,1.3473353817269684,1.1680063199219686,1.5225230218607475,0.09233157774368073,0.0004997501249375312,0.13025210084033614,1.1600952750746012,0.12704945067179865,0.9110783517578759,1.4091121983913266,6.783618509162808e-20,0.0011660836248542396,2.849119773848379e-19,associated,Austria,1600-1799
Military,Religion,Military + Religion,2463,952,5,26.95293314530121,-2.319456775138558,-4.126633833303117,-1.4365476568325106,0.6680679460156407,0.004997501249375313,0.005252100840336135,-2.5046322511649204,0.4338065231375386,-3.354893036514496,-1.6543714658153448,7.758818138646472e-09,0.00954068420335287,2.036689761394699e-08,dissociated,Austria,1600-1799
Military,Learning & Culture,Military + Learning & Culture,2463,952,40,93.33312312381122,-1.2121753764825325,-1.6582571093710918,-0.8699364868810421,0.2007517751375347,0.0004997501249375312,0.04201680672268908,-2.9118431576917367,0.17315272447698732,-3.2512224976666317,-2.5724638177168417,1.8438992540220383e-63,0.0011660836248542396,1.9360942167231402e-62,dissociated,Austria,1600-1799
Business,Nobility & Kinship,Business + Nobility & Kinship,2463,952,18,39.18062022580639,-1.1009093051269014,-1.820663427535386,-0.5798403658787112,0.3112983111767891,0.0029985007496251873,0.018907563025210083,-1.2494877444736974,0.24621569194442594,-1.732070500684772,-0.7669049882626225,3.8796716152737677e-07,0.006296851574212893,7.406645810977192e-07,dissociated,Austria,1600-1799
Business,Religion,Business + Religion,2463,952,13,21.80504766893581,-0.7244108240751848,-1.6243098253577677,-0.14587252742409432,0.3891305371267397,0.05897051474262868,0.01365546218487395,-1.3292399269000301,0.28487723887446786,-1.8875993150939872,-0.7708805387060731,3.0710538233301375e-06,0.07284592997618837,4.9609330992256065e-06,not distinguishable,Austria,1600-1799
Business,Learning & Culture,Business + Learning & Culture,2463,952,159,75.50692860899817,1.0693535817130164,0.934666293762541,1.2139329681702586,0.0706996723030598,0.0004997501249375312,0.16701680672268907,-0.4064968034654638,0.122530984619477,-0.6466575333196387,-0.16633607361128885,0.0009082622047598085,0.0011660836248542396,0.0011219709588209399,associated,Austria,1600-1799
Nobility & Kinship,Religion,Nobility & Kinship + Religion,2463,952,27,33.38924805716859,-0.3013960076732795,-0.8576156993110634,0.12450567809301345,0.2427072143254028,0.19640179910044978,0.028361344537815126,-0.896935902695622,0.20689022748114433,-1.3024407485586649,-0.4914310568325791,1.4554643663506804e-05,0.22913543228385805,2.0376501128909527e-05,not distinguishable,Austria,1600-1799
Nobility & Kinship,Learning & Culture,Nobility & Kinship + Learning & Culture,2463,952,72,115.62091528707957,-0.6795749484777753,-0.9554741180476223,-0.44626527357871215,0.12883308378952138,0.0004997501249375312,0.07563025210084033,-2.362073876245022,0.13791849426190694,-2.63239412499836,-2.091753627491684,9.40012585473333e-66,0.0011660836248542396,1.9740264294939994e-64,dissociated,Austria,1600-1799
Religion,Learning & Culture,Religion + Learning & Culture,2463,952,133,64.34608627507686,1.0417483322063859,0.8988495561893424,1.1909899517980629,0.07473815270853283,0.0004997501249375312,0.13970588235294118,-0.9710154158432577,0.1205633053247669,-1.207319494279801,-0.7347113374067146,8.01390711987994e-16,0.0011660836248542396,2.4041721359639823e-15,associated,Austria,1600-1799
Politics,Administration & Law,Politics + Administration & Law,10232,2939,343,177.4034579387691,0.9492155462650033,0.8468745010550772,1.0427102321059278,0.05005461673414088,0.0004997501249375312,0.11670636270840422,1.2308061077629595,0.07897292702358404,1.0760191707967348,1.3855930447291842,9.182577140397534e-55,0.0010494752623688157,3.213901999139137e-54,associated,Austria,1800-1899
Politics,Military,Politics + Military,10232,2939,103,109.48804964191551,-0.08771601367146221,-0.3212612172209112,0.11915698856765704,0.11670732749186856,0.4612693653173413,0.03504593399115345,-0.4510355080680791,0.1101903354345184,-0.6670085655197352,-0.23506245061642309,4.2538669305358835e-05,0.4612693653173413,6.380800395803825e-05,not distinguishable,Austria,1800-1899
Politics,Business,Politics + Business,10232,2939,444,326.1468483304366,0.4444516991689955,0.35789153741094337,0.5291661654249589,0.04291053533846321,0.0004997501249375312,0.1510717931269139,0.6894558460869719,0.0643170391485033,0.5633944493559053,0.8155172428180384,8.231841426112036e-27,0.0010494752623688157,2.469552427833611e-26,associated,Austria,1800-1899
Politics,Nobility & Kinship,Politics + Nobility & Kinship,10232,2939,59,91.46015212723951,-0.6281191842496103,-0.9783917638241585,-0.33335787265998407,0.1683206147880376,0.0024987506246876563,0.020074855392990813,-0.6334291742868354,0.14185748751372373,-0.9114698498137339,-0.3553884987599369,7.997523576913645e-06,0.0037481259370314847,1.2919076547322042e-05,dissociated,Austria,1800-1899
Politics,Religion,Politics + Religion,10232,2939,75,88.8300144358061,-0.24266835064343623,-0.5325737982904909,0.01980344742192792,0.13972691878908305,0.08295852073963018,0.025518883974140864,-0.33514560765070467,0.129258945551358,-0.5884931409313663,-0.081798074370043,0.009519166039191252,0.09169099660695967,0.009995124341150814,not distinguishable,Austria,1800-1899
Politics,Learning & Culture,Politics + Learning & Culture,10232,2939,465,695.671477605506,-0.580661539756374,-0.6595052838899003,-0.5072496832293515,0.0385626731869129,0.0004997501249375312,0.15821708063967335,-3.37249801734513,0.06205109023816883,-3.494118154211941,-3.250877880478319,0.0,0.0010494752623688157,0.0,dissociated,Austria,1800-1899
Administration & Law,Military,Administration & Law + Military,10232,2939,20,35.94487638443876,-0.8300920972953538,-1.5779131122105226,-0.3206827689917882,0.32143638867666224,0.017491254372813594,0.006805035726437564,-0.8372254095741999,0.22798694874932446,-1.2840798291228759,-0.39037099002552395,0.00024042291772372973,0.02295727136431784,0.0003155550795123953,dissociated,Austria,1800-1899
Administration & Law,Business,Administration & Law + Business,10232,2939,26,107.0738604327443,-2.0212632926091914,-2.6688617770663576,-1.5500367699072726,0.28264016321020413,0.0004997501249375312,0.008846546444368834,-1.3511450689543627,0.20030420359863912,-1.7437413080076953,-0.9585488299010301,1.525373149558349e-11,0.0010494752623688157,2.9120760127932113e-11,dissociated,Austria,1800-1899
Administration & Law,Nobility & Kinship,Administration & Law + Nobility & Kinship,10232,2939,14,30.026325914723564,-1.0740010599700904,-1.9838418360869947,-0.4776599634063442,0.3788420356624826,0.009995002498750625,0.004763525008506295,-0.7714164280529549,0.27009783715665714,-1.3008081888800027,-0.24202466722590688,0.004289300698910919,0.013993003498250877,0.004740806035638384,dissociated,Austria,1800-1899
Administration & Law,Religion,Administration & Law + Religion,10232,2939,0,29.162852919252156,-5.890585455138479,-6.054989761721258,-5.701096411207781,0.09021000562612169,0.0004997501249375312,0.0,-4.1887993509493775,1.4155880612410487,-6.963351950981833,-1.4142467509169219,0.0030858655338617583,0.0010494752623688157,0.003600176456172051,dissociated,Austria,1800-1899
Administration & Law,Learning & Culture,Administration & Law + Learning & Culture,10232,2939,205,228.3886264162362,-0.15550738257090413,-0.3096991868212846,-0.017420457118039082,0.07510961323867248,0.0399800099950025,0.06975161619598502,-2.012208858612411,0.08599479674158879,-2.180758660225925,-1.843659056998897,4.3551769621008435e-121,0.04664334499416958,3.0486238734705906e-120,dissociated,Austria,1800-1899
Military,Business,Military + Business,10232,2939,16,66.0827487954499,-2.012682407312336,-2.882827097684373,-1.4401324030086282,0.36743167549171607,0.0004997501249375312,0.005444028581150051,-1.708480708934629,0.2513214896873512,-2.2010708287218375,-1.2158905891474208,1.0608959274927146e-11,0.0010494752623688157,2.2278814477347003e-11,dissociated,Austria,1800-1899
Military,Nobility & Kinship,Military + Nobility & Kinship,10232,2939,73,18.531340372464886,1.9493670761137503,1.6621770026306157,2.1969925648212687,0.13651264197303747,0.0004997501249375312,0.024838380401497107,1.2538864838649812,0.1355540349444588,0.988200575373842,1.5195723923561206,2.243120725516642e-20,0.0010494752623688157,5.888191904481185e-20,associated,Austria,1800-1899
Military,Religion,Military + Religion,10232,2939,4,17.998430950680913,-2.03940599901521,-3.7657691885045494,-1.0572036837048546,0.7777888016930469,0.021989005497251374,0.0013610071452875127,-1.8390524132607766,0.4757449898033445,-2.771512593275332,-0.9065922332462214,0.00011080442427816912,0.027162889143663466,0.00015512619398943677,dissociated,Austria,1800-1899
Military,Learning & Culture,Military + Learning & Culture,10232,2939,173,140.95455385847407,0.294597040517693,0.14183695409246505,0.4373678163527933,0.07514150209570498,0.0004997501249375312,0.058863559033684926,-2.0537223165940275,0.09225809524053037,-2.234548183265467,-1.872896449922588,8.900972409508384e-110,0.0010494752623688157,4.673010514991902e-109,associated,Austria,1800-1899
Business,Nobility & Kinship,Business + Nobility & Kinship,10232,2939,30,55.20180766380361,-0.8689149047333743,-1.412147924002317,-0.45141170108821543,0.24015967987090178,0.0009995002498750624,0.010207553589656346,-0.6118087128886512,0.19043246689140877,-0.9850563479958124,-0.23856107778149005,0.0013147835297252835,0.001908136840670574,0.0016241443602488797,dissociated,Austria,1800-1899
Business,Religion,Business + Religion,10232,2939,7,53.6143583583417,-2.8510489396151186,-4.369028575748746,-2.058527394374103,0.5647752020144317,0.0014992503748125937,0.0023817625042531474,-2.087737448235629,0.3696849088333493,-2.8123198695489933,-1.3631550269222643,1.6294661283313978e-08,0.002421865990081882,2.851565724579946e-08,dissociated,Austria,1800-1899
Business,Learning & Culture,Business + Learning & Culture,10232,2939,505,419.8803764348416,0.26601576697879303,0.19133704669646093,0.3378100191525582,0.037470815174093605,0.0004997501249375312,0.17182715209254848,-1.573614800504168,0.06261883225013443,-1.6963477117144314,-1.4508818892939044,2.3350226981405436e-139,0.0010494752623688157,2.4517738330475707e-138,associated,Austria,1800-1899
Nobility & Kinship,Religion,Nobility & Kinship + Religion,10232,2939,8,15.034875844301256,-0.8699759650339095,-2.157629219321847,-0.10124299353416208,0.5235005719361774,0.09145427286356822,0.0027220142905750254,-0.7609376357971644,0.3501288997504134,-1.4471902793079747,-0.07468499228635417,0.029757208889556866,0.09602698650674664,0.029757208889556866,not distinguishable,Austria,1800-1899
Nobility & Kinship,Learning & Culture,Nobility & Kinship + Learning & Culture,10232,2939,144,117.74549808025671,0.2892842353424722,0.12244927030142964,0.45642523529442064,0.08546591289476578,0.0014992503748125937,0.04899625723035046,-1.6780670572677887,0.10504676613811736,-1.8839587188984988,-1.4721753956370787,1.9246458895945166e-57,0.002421865990081882,8.08351273629697e-57,associated,Austria,1800-1899
Religion,Learning & Culture,Religion + Learning & Culture,10232,2939,225,114.35946749431753,0.973257655178711,0.858255681682288,1.0765350464732242,0.05592113234222722,0.0004997501249375312,0.07655665192242259,-0.8364120081026516,0.10031483893742257,-1.0330290924199999,-0.6397949237853033,7.564116281589316e-17,0.0010494752623688157,1.7649604657041738e-16,associated,Austria,1800-1899
Politics,Administration & Law,Politics + Administration & Law,18111,3876,457,283.60225522861634,0.6873614595840195,0.6046322025904914,0.7694488812721864,0.042138356169352076,0.0004997501249375312,0.11790505675954592,0.8754286178484564,0.06462681936168978,0.7487600518995444,1.0020971837973685,8.377743710331818e-42,0.0010494752623688157,2.932210298616136e-41,associated,Austria,1900-2020
Politics,Military,Politics + Military,18111,3876,136,89.01354402487028,0.6087230572960659,0.42977427625142356,0.7733416386312063,0.08584272599712965,0.0004997501249375312,0.03508771929824561,0.6045493666210732,0.11000251102547973,0.3889444450111329,0.8201542882310134,3.889918838555285e-08,0.0010494752623688157,8.168829560966098e-08,associated,Austria,1900-2020
Politics,Business,Politics + Business,18111,3876,847,651.260936320744,0.37887048236643245,0.3262802357450785,0.43327692687628744,0.02758806646974125,0.0004997501249375312,0.21852425180598556,0.8494848602272307,0.04861520499456705,0.7541990584378793,0.9447706620165821,2.274836287222169e-68,0.0010494752623688157,9.55431240633311e-68,associated,Austria,1900-2020
Politics,Nobility & Kinship,Politics + Nobility & Kinship,18111,3876,59,59.49922333904989,-0.01205415743135491,-0.34831546429961124,0.2584641536205551,0.15272796955588056,0.9380309845077461,0.0152218782249742,0.013996070059981661,0.15121694921140288,-0.282389150394368,0.31038129051433133,0.926256121343775,0.9485257371314343,0.926256121343775,not distinguishable,Austria,1900-2020
Politics,Religion,Politics + Religion,18111,3876,17,120.12236641843909,-2.7850706167936083,-3.603650382977296,-2.2163198207995376,0.3507276536406381,0.0004997501249375312,0.0043859649122807015,-2.321752263752815,0.24372445992918076,-2.7994522052140094,-1.844052322291621,1.6324712951477682e-21,0.0010494752623688157,4.285237149762892e-21,dissociated,Austria,1900-2020
Politics,Learning & Culture,Politics + Learning & Culture,18111,3876,659,971.5016747653929,-0.5595861401295916,-0.6230121441719473,-0.5019684762478699,0.030933236696550404,0.0004997501249375312,0.17002063983488133,-4.309967201795871,0.0533926959312894,-4.414616885821198,-4.205317517770544,0.0,0.0010494752623688157,0.0,dissociated,Austria,1900-2020
Administration & Law,Military,Administration & Law + Military,18111,3876,29,26.373611505640806,0.134524738402148,-0.4168835808730637,0.5403078761295683,0.24759183167219462,0.568215892053973,0.007481940144478844,0.3746229346685711,0.19482811189413574,-0.007240164643934954,0.7564860339810772,0.054500373858045056,0.7191992239174531,0.08175056078706758,not distinguishable,Austria,1900-2020
Administration & Law,Business,Administration & Law + Business,18111,3876,46,192.96055573884573,-2.056736826996119,-2.4894033257719603,-1.7093321554411995,0.20123960010635591,0.0004997501249375312,0.011867905056759546,-1.0587790685285785,0.15186343491122897,-1.3564314009545873,-0.7611267361025698,3.1265385940365615e-12,0.0010494752623688157,7.295256719418644e-12,dissociated,Austria,1900-2020
Administration & Law,Nobility & Kinship,Administration & Law + Nobility & Kinship,18111,3876,12,17.628883541509403,-0.5363619852568103,-1.4550433318963136,0.11379978730886131,0.4069957180238045,0.18040979510244878,0.0030959752321981426,-0.08920034938080292,0.2924941974263468,-0.6624889763364427,0.48408827757483686,0.7603931830195756,0.2525737131434283,0.8404345707058467,not distinguishable,Austria,1900-2020
Administration & Law,Religion,Administration & Law + Religion,18111,3876,6,35.590770592989685,-2.4731183240494707,-3.9142613544566056,-1.604891813130975,0.6274728258605463,0.0034982508745627187,0.0015479876160990713,-1.6257315124511074,0.39595541466792156,-2.4018041252002336,-0.8496588997019812,4.0283975437269776e-05,0.005651020643524392,6.507411416789733e-05,dissociated,Austria,1900-2020
Administration & Law,Learning & Culture,Administration & Law + Learning & Culture,18111,3876,294,287.84392339420975,0.030477014925532765,-0.09147802405431955,0.14425272421610325,0.06011619328623023,0.6226886556721639,0.07585139318885449,-2.0822857880851573,0.07090017576518311,-2.2212501325849163,-1.9433214435853985,1.3565328137113502e-189,0.7264700982841912,9.495729695979451e-189,not distinguishable,Austria,1900-2020
Military,Business,Military + Business,18111,3876,33,60.56405619721623,-0.8661623285836644,-1.3845093185384956,-0.48078835883751675,0.2369119281841515,0.0014992503748125937,0.008513931888544891,-0.22002523151056186,0.1829588975652578,-0.5786246707384671,0.1385742077173434,0.22913355731815166,0.0028622052610058606,0.30073779398007405,dissociated,Austria,1900-2020
Military,Nobility & Kinship,Military + Nobility & Kinship,18111,3876,5,5.5331344243595435,-0.1334761087953081,-1.9519157712654722,0.7328505207750651,0.673527404018013,0.8300849575212393,0.0012899896800825593,0.17830175004150767,0.4348467780700024,-0.673997934975697,1.0306014350587123,0.681781367158205,0.9174623214708435,0.8404345707058467,not distinguishable,Austria,1900-2020
Military,Religion,Military + Religion,18111,3876,11,11.170787843362957,-0.021268093135923358,-1.0253241610060195,0.6247773690530757,0.4238827038056918,0.9485257371314343,0.0028379772961816306,0.0984140238131684,0.3030244865694572,-0.49551396986296764,0.6923420174893045,0.7453532497172117,0.9485257371314343,0.8404345707058467,not distinguishable,Austria,1900-2020
Military,Learning & Culture,Military + Learning & Culture,18111,3876,69,90.34486600498846,-0.3863920066460053,-0.6910347204197833,-0.12058818023330702,0.14499995726388917,0.009495252373813094,0.01780185758513932,-2.4725246947100405,0.13462197478877574,-2.7363837652960408,-2.2086656241240403,2.439516832144639e-75,0.014242878560719641,1.2807463368759354e-74,dissociated,Austria,1900-2020
Business,Nobility & Kinship,Business + Nobility & Kinship,18111,3876,18,40.48276411722377,-1.1474920206775725,-1.867084962768599,-0.5958293345589804,0.3148659667024515,0.0029985007496251873,0.0046439628482972135,-0.3940152966991738,0.2434591516004588,-0.8711952338360731,0.08316464043772548,0.10557553231652446,0.005247376311844077,0.14780574524313425,dissociated,Austria,1900-2020
Business,Religion,Business + Religion,18111,3876,1,81.73023364035804,-5.776634522179191,-7.464259820577673,-4.485126428682536,1.022578617938595,0.0004997501249375312,0.00025799793601651185,-3.830524477653622,0.8179994359628937,-5.433803372140893,-2.2272455831663507,2.8298812857108114e-06,0.0010494752623688157,5.402500636357004e-06,dissociated,Austria,1900-2020
Business,Learning & Culture,Business + Learning & Culture,18111,3876,743,661.0014540005468,0.16858841468217287,0.11363415225806583,0.22455822106028983,0.028780149978708147,0.0004997501249375312,0.19169246646026833,-1.7969260831669838,0.04969479579370887,-1.894327882922653,-1.6995242834113145,2.663137548706644e-286,0.0010494752623688157,2.7962944261419766e-285,associated,Austria,1900-2020
Nobility & Kinship,Religion,Nobility & Kinship + Religion,18111,3876,6,7.466877181967867,-0.2935746162439148,-1.6934579815194397,0.5547454163706852,0.5953485982460817,0.5822088955522239,0.0015479876160990713,-0.04383747012027868,0.40029988735495936,-0.828425249335999,0.7407503090954416,0.9127967434778436,0.7191992239174531,0.926256121343775,not distinguishable,Austria,1900-2020
Nobility & Kinship,Learning & Culture,Nobility & Kinship + Learning & Culture,18111,3876,91,60.38911739617344,0.5875873425480019,0.358927922245396,0.785981378101968,0.10929366314009488,0.0004997501249375312,0.02347781217750258,-1.44484639936371,0.13520996770052315,-1.7098579360567352,-1.1798348626706847,1.1843550498327108e-26,0.0010494752623688157,3.553065149498132e-26,associated,Austria,1900-2020
Religion,Learning & Culture,Religion + Learning & Culture,18111,3876,337,121.9189643234949,1.4630604341969784,1.380957722196811,1.535559651037812,0.04022113709871535,0.0004997501249375312,0.0869453044375645,-0.4228535455637184,0.09235382139370574,-0.6038670354953817,-0.24184005563205516,4.680417045230649e-06,0.0010494752623688157,8.190729829153636e-06,associated,Austria,1900-2020
Politics,Administration & Law,Politics + Administration & Law,502,183,6,1.6895827349490602,1.5697837540570305,0.3285135194526193,2.259123600456704,0.5039790290687786,0.01249375312343828,0.03278688524590164,1.247221337645121,0.4762232034465986,0.3138238588897879,2.1806188164004543,0.008819187359432573,0.04372813593203398,0.020578103838676004,associated,Belgium,1400-1599
Politics,Military,Politics + Military,502,183,4,0.6556455053924777,1.9612260828810235,0.5409936305132137,2.684386913947417,0.6057894779951689,0.017491254372813594,0.02185792349726776,1.7001647126866175,0.5897748750240668,0.5442059576394467,2.8561234677337883,0.003942388655824961,0.05247376311844078,0.013798360295387363,not distinguishable,Belgium,1400-1599
Politics,Business,Politics + Business,502,183,3,1.6185768846249433,0.7242594360018239,-1.801969043945321,1.6826834074958483,0.797625458801324,0.27636181909045476,0.01639344262295082,0.5424153074814725,0.5968276010494054,-0.627366790575362,1.7121974055383071,0.36343944470297973,0.32242212227219724,0.42401268548680965,not distinguishable,Belgium,1400-1599
Politics,Nobility & Kinship,Politics + Nobility & Kinship,502,183,8,2.4178535863347643,1.5425553485251318,0.5622384869078627,2.1717328741342175,0.4215766364080128,0.006496751624187906,0.04371584699453552,1.037330157644299,0.4200544294288543,0.2140234759637446,1.8606368393248536,0.01352968473002016,0.027286356821589204,0.028412337933042337,associated,Belgium,1400-1599
Politics,Religion,Politics + Religion,502,183,4,8.718404547254039,-1.0345920799131578,-2.795592997728035,-0.13218745146194386,0.7114058796962163,0.1089455272363818,0.02185792349726776,-1.1589501182536592,0.5107911428549036,-2.1601007582492704,-0.1577994782580483,0.023272491286344805,0.1889055472263868,0.044429301546658265,not distinguishable,Belgium,1400-1599
Politics,Learning & Culture,Politics + Learning & Culture,502,183,8,17.899936742450954,-1.1141660600546817,-2.213226268771387,-0.49757849170633467,0.43824415618395113,0.02348825587206397,0.04371584699453552,-2.85604701535509,0.40531149540179,-3.650457546342598,-2.0616364843675816,1.834105243767867e-12,0.06165667166416792,1.9258105059562602e-11,not distinguishable,Belgium,1400-1599
Administration & Law,Military,Administration & Law + Military,502,183,1,0.488124133870858,0.6021983027151351,-1.2360881237948058,1.8989678732888537,0.9717836845350429,0.559720139930035,0.00546448087431694,0.5485241011137483,0.8813712749966058,-1.1789635978795991,2.2760118001070957,0.5337097452627079,0.559720139930035,0.589889718448256,not distinguishable,Belgium,1400-1599
Administration & Law,Business,Administration & Law + Business,502,183,0,1.205020751935146,-1.7697892985055943,-2.266544890124156,-1.197153220152782,0.2798954763712492,0.0004997501249375312,0.0,-1.325862621934973,1.4392342375446998,-4.146761727522584,1.4950364836526384,0.3569314955286941,0.002623688155922039,0.42401268548680965,dissociated,Belgium,1400-1599
Administration & Law,Nobility & Kinship,Administration & Law + Nobility & Kinship,502,183,4,1.8000774472627772,0.9682425616201368,-0.6481717651857567,1.8222224281557575,0.6609001814305603,0.11694152923538231,0.02185792349726776,0.49173421264973755,0.5336325549272958,-0.5541855950077623,1.5376540203072373,0.3567974472639428,0.1889055472263868,0.42401268548680965,not distinguishable,Belgium,1400-1599
Administration & Law,Religion,Administration & Law + Religion,502,183,3,6.490799728454836,-0.9981025833685135,-3.4193505875694754,-0.028587889440600665,0.7689780320631665,0.14842578710644677,0.01639344262295082,-1.1384631428667218,0.5765995803542806,-2.2685983203611118,-0.008327965372331825,0.04833136559743786,0.21059470264867566,0.08457988979551624,not distinguishable,Belgium,1400-1599
Administration & Law,Learning & Culture,Administration & Law + Learning & Culture,502,183,11,13.326395204252497,-0.2657912071887322,-0.9761245810924162,0.19562915658284372,0.2978744603673223,0.3328335832083958,0.060109289617486336,-1.92896059074154,0.3893183867996271,-2.692024628868809,-1.1658965526142708,7.243739668746386e-07,0.3494752623688156,5.07061776812247e-06,not distinguishable,Belgium,1400-1599
Military,Business,Military + Business,502,183,0,0.46761038898445073,-0.9524981643600794,-1.4531636698792478,-0.4710988620914903,0.25364718639627437,0.0004997501249375312,0.0,-0.5469997807160929,1.4517217367120618,-3.392374384671734,2.2983748232395484,0.7063268327618466,0.002623688155922039,0.7063268327618466,dissociated,Belgium,1400-1599
Military,Nobility & Kinship,Military + Nobility & Kinship,502,183,3,0.6985231698001384,1.5460971226803608,-0.904794471154137,2.3941900442015474,0.7669109862055243,0.053973013493253376,0.01639344262295082,1.087401408918893,0.6300028736944226,-0.1474042235221753,2.3222070413599614,0.0843427156697624,0.1259370314842579,0.12651407350464358,not distinguishable,Belgium,1400-1599
Military,Religion,Military + Religion,502,183,0,2.518766071844616,-2.5939589648457364,-3.27889906469508,-1.6922388022404802,0.41115477478925067,0.0004997501249375312,0.0,-2.4287100358423803,1.4419026301132396,-5.254839190864329,0.39741911917956907,0.09210851014443212,0.002623688155922039,0.12895191420220498,dissociated,Belgium,1400-1599
