pair,change,change_se,change_long_post,n_pre_cohorts,n_post_cohorts,predicted,contested,direction,claim,source,signed_change,rank_of_change,z
Administration & Law + Sport & Games,0.0006203161042697136,0.3433078872186549,0.7975019127329859,6,6,False,False,,,,,30.0,0.0018068798514804599
Religion + Academia,-0.015663598549919167,0.05569105205949654,-0.1183135899066905,6,6,False,False,,,,,29.0,-0.2812588013813286
Religion + Big business,-0.07589917832897797,0.3010752659300415,-0.10646567871509216,6,6,False,False,,,,,28.0,-0.2520937018672735
Kinship + Small business,-0.09336958761034286,0.24275202838956103,-0.2623108016942203,6,6,False,False,,,,,27.0,-0.3846294847864513
Religion + Nobility,-0.1029971965165648,0.12301625554237111,-0.16735264416818785,6,6,False,False,,,,,26.0,-0.8372649294392558
Religion + Culture (core),-0.1578218613462613,0.07533626602544609,-0.2361582004918723,6,6,False,False,,,,,25.0,-2.0948989068950445
Small business + Culture (core),-0.16060470767474988,0.11712932428581613,-0.37860641542446666,6,6,False,False,,,,,24.0,-1.3711742012858041
Exploration & Invention + Culture (periphery),-0.18359928223757116,0.33805070506486334,-0.7330447058949862,6,6,False,False,,,,,23.0,-0.5431116678261124
Academia + Sport & Games,-0.19370850953850793,0.29058398193555773,-0.11331694710445639,6,6,False,False,,,,,22.0,-0.6666179885354668
Administration & Law + Military,-0.2908098804798951,0.24124041340881539,-0.3586243189306992,6,6,True,False,1.0,The fiscal-military state: paying for the army builds the office-holding bureaucracy,Parker 1988; Tilly 1990; Ertman 1997,-0.2908098804798951,21.0,-1.2054774586506671
Politics + Culture (core),-0.3650790500580334,0.22614316934553197,-0.3117539219102301,6,6,False,False,,,,,20.0,-1.6143713343833814
Nobility + Small business,-0.41367602677528836,0.1947059364099278,-0.4019358105060935,6,6,False,False,,,,,19.0,-2.12461948722687
Academia + Culture (core),-0.45598047561609123,0.057923402551678826,-0.532956087785272,6,6,False,False,,,,,18.0,-7.872128630725187
Culture (core) + Culture (periphery),-0.5232279991272903,0.06300378942292335,-0.6288064783433123,6,6,False,False,,,,,17.0,-8.304706810808408
Nobility + Sport & Games,-0.5702469674456238,0.3781338839674807,-0.3046446052279552,6,6,False,False,,,,,16.0,-1.508055722122656
Small business + Sport & Games,-0.6124020161699661,0.18334368653474986,0.02628551828606729,6,6,False,False,,,,,15.0,-3.3401860066443856
Nobility + Exploration & Invention,-0.6779549840915144,0.35207102030724324,-0.7360809923209735,6,6,False,False,,,,,14.0,-1.92561996014293
Politics + Academia,-0.7039147552333664,0.1574735326002497,-0.3610227374267511,6,6,False,False,,,,,13.0,-4.47005121184568
Exploration & Invention + Culture (core),-0.7064008502975385,0.20517883790401495,-0.7234181374322,6,6,False,False,,,,,12.0,-3.4428543290024924
Small business + Culture (periphery),-0.7501409652422479,0.14389111977611355,-1.1470161426906555,6,6,False,False,,,,,11.0,-5.213254066056508
Politics + Big business,-0.7878193873405717,0.1999290572871095,-0.6559974933784337,6,6,False,False,,,,,10.0,-3.9404946836177905
Administration & Law + Academia,-0.8285897797098382,0.10645626759937146,-1.1267860398626395,6,6,False,False,,,,,9.0,-7.783381837395268
Administration & Law + Exploration & Invention,-0.892112373332448,0.29020148212836894,-0.6673156142721014,6,6,False,False,,,,,8.0,-3.074113773608597
Military + Small business,-0.9094834407309378,0.3856150187201383,-0.6291649232011025,6,6,False,False,,,,,7.0,-2.3585270193819894
Administration & Law + Small business,-0.9175848495189998,0.3227930550590327,-0.9367326852298206,6,6,False,False,,,,,6.0,-2.8426412375916543
Military + Religion,-1.0610170754181194,0.28178474493014966,-0.7576877251955356,6,6,True,False,-1.0,Command secularises as the confessional wars close,Parker 1988; Downing 1992,1.0610170754181194,5.0,-3.7653460469662052
Politics + Small business,-1.1298731708148289,0.1653025693065473,-0.6750351030551285,6,6,False,False,,,,,4.0,-6.835182148436679
Religion + Sport & Games,-1.4532504368765569,0.3154716932467743,1.3817183915372984,6,6,False,False,,,,,3.0,-4.606595355418362
Politics + Exploration & Invention,-1.7482943258865473,0.24504761443504727,-1.6427804618769817,6,6,False,False,,,,,2.0,-7.134508654235249
Administration & Law + Religion,-2.316480917895879,0.14514143105246394,-2.443128096060615,6,6,False,False,,,,,1.0,-15.960163139486658
