spec,spec_short,spec_label,pair,domain_a,domain_b,is_core_pair,n_pair,expected_qi,assoc_log2,assoc_ci_low,assoc_ci_high,q_value,direction,share_of_diversified
culture_out,culture out,Culture dropped: ideational = religion and the academy,Ideational + Security,Ideational,Security,True,8215,12016.875049585122,-0.5487015169609358,-0.5736751108029455,-0.523791119101938,0.0004997501249375312,dissociated,0.043509348021820875
culture_out,culture out,Culture dropped: ideational = religion and the academy,Economic + Security,Economic,Security,True,9328,11487.834517287658,-0.3004526402725134,-0.3230177953453042,-0.276677739120873,0.0004997501249375312,dissociated,0.04940416291509984
culture_own,culture own,Culture as a fifth domain of its own,Political + Ideational,Political,Ideational,True,55852,63164.70229512209,-0.1775081383906176,-0.18485320721211518,-0.1703937924342838,0.0005552779165972568,dissociated,0.14905671958858083
culture_own,culture own,Culture as a fifth domain of its own,Political + Cultural,Political,Cultural,False,40288,59967.953946763046,-0.5738356861731965,-0.5834497993476914,-0.5646772212594344,0.0005552779165972568,dissociated,0.10751982236598052
culture_own,culture own,Culture as a fifth domain of its own,Political + Economic,Political,Economic,True,51656,40131.22928018103,0.3642065732489996,0.35623680664354573,0.3721698959980641,0.0005552779165972568,associated,0.13785851727901832
culture_own,culture own,Culture as a fifth domain of its own,Political + Security,Political,Security,True,29577,14109.114483251335,1.0678215459120872,1.0570008001997753,1.0787082167300648,0.0005552779165972568,associated,0.07893451613678033
culture_own,culture own,Culture as a fifth domain of its own,Ideational + Cultural,Ideational,Cultural,False,93942,67748.51944382647,0.47157792117251207,0.46674464974075813,0.476543552724177,0.0005552779165972568,associated,0.25071056276571047
culture_own,culture own,Culture as a fifth domain of its own,Ideational + Economic,Ideational,Economic,True,34182,45338.07122395178,-0.4074810124295183,-0.41814136071746477,-0.3970294893708158,0.0005552779165972568,dissociated,0.0912242496056877
culture_own,culture own,Culture as a fifth domain of its own,Ideational + Security,Ideational,Security,True,8215,15939.707026728114,-0.956250080549371,-0.9844939226171885,-0.9281257066809331,0.0005552779165972568,dissociated,0.021924030498821735
culture_own,culture own,Culture as a fifth domain of its own,Cultural + Economic,Cultural,Economic,False,43474,43043.523810021434,0.014356486035484967,0.00538680040213035,0.02331467472653895,0.0014992503748125937,associated,0.11602255653143957
culture_own,culture own,Culture as a fifth domain of its own,Cultural + Security,Cultural,Security,False,8189,15133.002803332205,-0.8858986749945568,-0.9147824359337877,-0.8589828210710949,0.0005552779165972568,dissociated,0.021854642209963623
culture_own,culture own,Culture as a fifth domain of its own,Economic + Security,Economic,Security,True,9328,10127.17568682245,-0.1185860889595246,-0.14402097360627017,-0.094299651149732,0.0005552779165972568,dissociated,0.024894383018016938
culture_core_only,core only,Only Culture (core) counts as ideational,Political + Ideational,Political,Ideational,True,80133,84177.99212753444,-0.07104617637734843,-0.07401237492234963,-0.06810911561885448,0.0004997501249375312,dissociated,0.3209813739234929
culture_core_only,core only,Only Culture (core) counts as ideational,Political + Economic,Political,Economic,True,51656,56748.02023263345,-0.1356328767790818,-0.1408534047486749,-0.13039656040582387,0.0004997501249375312,dissociated,0.20691367915081113
culture_core_only,core only,Only Culture (core) counts as ideational,Political + Security,Political,Security,True,29577,20439.98762964872,0.5330705019384445,0.5235503432271902,0.5430381148166071,0.0004997501249375312,associated,0.11847386340877228
culture_core_only,core only,Only Culture (core) counts as ideational,Ideational + Economic,Ideational,Economic,True,64211,55073.98763976269,0.22144753234950051,0.21638629736970078,0.22643327469607416,0.0004997501249375312,associated,0.257204085720008
culture_core_only,core only,Only Culture (core) counts as ideational,Ideational + Security,Ideational,Security,True,14745,19837.02024242293,-0.4279569521326203,-0.4459532695420353,-0.4103044566525692,0.0004997501249375312,dissociated,0.059062687762868014
culture_core_only,core only,Only Culture (core) counts as ideational,Economic + Security,Economic,Security,True,9328,13372.992127997764,-0.5196592126539868,-0.5437403365987254,-0.4951108274250964,0.0004997501249375312,dissociated,0.037364310034047665
invention_ideational,invention ideational,Exploration & Invention moved to the ideational domain,Political + Ideational,Political,Ideational,True,101559,107124.73040626368,-0.07697310990028332,-0.07899654807821242,-0.07495178692720032,0.0004997501249375312,dissociated,0.37592167604382587
invention_ideational,invention ideational,Exploration & Invention moved to the ideational domain,Political + Economic,Political,Economic,True,46237,49795.07798138564,-0.10695423635003831,-0.1129293207678813,-0.10100323282493492,0.0004997501249375312,dissociated,0.1711467278649689
invention_ideational,invention ideational,Exploration & Invention moved to the ideational domain,Political + Security,Political,Security,True,29577,20453.19162372497,0.5321388614075175,0.5222708280155934,0.5418718703062338,0.0004997501249375312,associated,0.10947956766360675
invention_ideational,invention ideational,Exploration & Invention moved to the ideational domain,Ideational + Economic,Ideational,Economic,True,67055,57931.19161200396,0.21100287666684908,0.20606402713234837,0.21568616564828239,0.0004997501249375312,associated,0.2482047675451584
invention_ideational,invention ideational,Exploration & Invention moved to the ideational domain,Ideational + Security,Ideational,Security,True,20237,23795.07796883009,-0.23366241589695297,-0.24719063247630593,-0.22007663461365215,0.0004997501249375312,dissociated,0.0749074622445958
invention_ideational,invention ideational,Exploration & Invention moved to the ideational domain,Economic + Security,Economic,Security,True,5495,11060.73040779167,-1.0091892204751145,-1.0422274493121433,-0.9753522937899922,0.0004997501249375312,dissociated,0.020339798637844242
