group_a,group_b,pair,n_elites_period,n_diversified_period,n_pair,expected_qi,assoc_log2,assoc_ci_low,assoc_ci_high,assoc_boot_se,p_value,share_of_diversified,log_or_uncond,se_uncond,ci_low_uncond,ci_high_uncond,p_value_uncond,q_value,q_value_uncond,direction,country,cohort,phase
Nobility & Kinship,Learning & Culture,Nobility & Kinship + Learning & Culture,402,149,13,19.122225156641242,-0.539529244904151,-1.2250121122077853,-0.07231474782684008,0.2965918214310026,0.06446776611694154,0.087248322147651,-2.453282283526654,0.31506823383812327,-3.0708160218493754,-1.8357485452039324,6.888489993990209e-15,0.15042478760619693,1.446582898737944e-13,not distinguishable,Italy,1400,pre
Religion,Learning & Culture,Religion + Learning & Culture,402,149,27,13.885793735902848,0.934786794691882,0.5794679599252056,1.2928731526373543,0.18314157115415297,0.0004997501249375312,0.18120805369127516,-1.3807845035979889,0.2507953491229138,-1.8723433878789,-0.8892256193170778,3.678661654679972e-08,0.002623688155922039,2.5750631582759805e-07,associated,Italy,1400,pre
Politics,Administration & Law,Politics + Administration & Law,509,173,6,2.6533177873374743,1.0435691478302684,-0.13758573555643044,1.7676719432483927,0.49338998157170966,0.03798100949525238,0.03468208092485549,0.8980857893129136,0.46365219519133777,-0.010672513262108385,1.8068440918879356,0.052747587748506346,0.08862235548892222,0.08520764174758717,not distinguishable,Italy,1425,pre
Politics,Military,Politics + Military,509,173,4,2.3910171738383834,0.6383478223963306,-0.9658393868213977,1.5014063681828271,0.6720178912643587,0.27886056971514245,0.023121387283236993,0.5746761696996939,0.5335556958721498,-0.4710929942097196,1.6204453336091076,0.28144955000312555,0.34447482141282304,0.3596164801382734,not distinguishable,Italy,1425,pre
Politics,Business,Politics + Business,509,173,2,1.7975537533071415,0.12182947984858385,-2.2682245485987482,1.2124382252043722,0.9278449897376954,0.8775612193903048,0.011560693641618497,0.04388695035587504,0.6816139298336794,-1.2920763521181367,1.3798502528298866,0.9486622279343495,0.9214392803598201,0.9486622279343495,not distinguishable,Italy,1425,pre
Politics,Nobility & Kinship,Politics + Nobility & Kinship,509,173,12,6.701233371322091,0.7956121684555839,0.10982610957378787,1.3095442222764084,0.3067890975037715,0.013993003498250875,0.06936416184971098,0.5033168730134212,0.3576755423600862,-0.19772719001234773,1.20436093603919,0.15937153138928317,0.04897551224387806,0.23905729708392473,associated,Italy,1425,pre
Politics,Religion,Politics + Religion,509,173,1,5.0772577215441705,-1.894593437821127,-3.7825506768824235,-0.5010066863726883,1.011888814809914,0.026486756621689155,0.005780346820809248,-2.2501486364959495,0.8383970460842012,-3.8934068468209837,-0.6068904261709152,0.0072775409450531806,0.06952773613193403,0.019103544980764598,not distinguishable,Italy,1425,pre
Politics,Learning & Culture,Politics + Learning & Culture,509,173,5,11.379620193052496,-1.110985188284465,-2.6246806477678915,-0.3274986508507772,0.5963503344482938,0.06746626686656672,0.028901734104046242,-2.437379431397702,0.4682036821075511,-3.355058648328502,-1.5197002144669018,1.9315215337954163e-07,0.11806596701649176,1.3520650736567912e-06,not distinguishable,Italy,1425,pre
Administration & Law,Military,Administration & Law + Military,509,173,0,2.6533177873374743,-2.656870570310824,-3.177388541817465,-2.0710240386416503,0.2854786331650526,0.0004997501249375312,0.0,-1.8316188012246788,1.4340826035089955,-4.64242070410231,0.9791831016529522,0.20152955498599368,0.002623688155922039,0.28214137698039116,dissociated,Italy,1425,pre
Administration & Law,Business,Administration & Law + Business,509,173,2,1.9947499330121754,0.0030328839276099794,-2.3240489271407343,1.1253068706527145,0.913553921631049,0.9960019990004998,0.011560693641618497,0.07246159597489854,0.682118094219832,-1.2644898686959722,1.4094130606457695,0.9153996470959934,0.9960019990004997,0.9486622279343495,not distinguishable,Italy,1425,pre
Administration & Law,Nobility & Kinship,Administration & Law + Nobility & Kinship,509,173,2,7.436375570939422,-1.6665522047173484,-4.067008968409588,-0.5129634509728714,0.9467770252085556,0.13193403298350825,0.011560693641618497,-1.5017758997879949,0.6623004433171346,-2.7998847686895783,-0.20366703088641125,0.023358810344194625,0.21312420712720564,0.04767939936037024,not distinguishable,Italy,1425,pre
Administration & Law,Religion,Administration & Law + Religion,509,173,8,5.63424569713286,0.47057688870861775,-0.6106044057171464,1.114045058140403,0.442984997627857,0.23488255872063968,0.046242774566473986,-0.20847623058290288,0.40091468317016815,-0.9942690095964324,0.5773165484306266,0.6030625401130998,0.3082833583208396,0.7035729634652831,not distinguishable,Italy,1425,pre
Administration & Law,Learning & Culture,Administration & Law + Learning & Culture,509,173,15,12.627993224699347,0.23962181610374236,-0.3600103227035946,0.6814299219532414,0.2651075389542079,0.3288355822088955,0.08670520231213873,-0.9337058921445106,0.33810495790448686,-1.5963916096373048,-0.27102017465171635,0.0057521378994235765,0.3836415125770448,0.017256413698270728,not distinguishable,Italy,1425,pre
Military,Business,Military + Business,509,173,0,1.7975537533071415,-2.2000986150387782,-2.740990246735561,-1.5878922664593802,0.2933888538523988,0.0004997501249375312,0.0,-1.5170573676264798,1.4370537408143291,-4.333682699622565,1.2995679643696052,0.2911181029690785,0.002623688155922039,0.3596164801382734,dissociated,Italy,1425,pre
Military,Nobility & Kinship,Military + Nobility & Kinship,509,173,19,6.701233371322091,1.4371581975431076,1.0273794915210477,1.8317116173389176,0.20817123220246594,0.0004997501249375312,0.10982658959537572,1.6651792583087233,0.35962191576294883,0.9603203034133436,2.370038213204103,3.6502893271675126e-06,0.002623688155922039,1.533121517410355e-05,associated,Italy,1425,pre
Military,Religion,Military + Religion,509,173,2,5.0772577215441705,-1.1576278436549212,-3.538061993080101,-0.05634297940733535,0.9129211246902547,0.15092453773113443,0.011560693641618497,-1.5161398912772452,0.6646076106950309,-2.8187708082395058,-0.21350897431498472,0.02253332127126475,0.22638680659670163,0.04767939936037024,not distinguishable,Italy,1425,pre
Military,Learning & Culture,Military + Learning & Culture,509,173,5,11.379620193052496,-1.110985188284465,-2.754275216926115,-0.2958766871805715,0.609601538940531,0.05847076461769116,0.028901734104046242,-2.2174508821766907,0.4740699100581726,-3.146627905890709,-1.2882738584626723,2.9042678999594452e-06,0.11162600517922856,1.5247406474787087e-05,not distinguishable,Italy,1425,pre
