country,pair,change,n_pre,n_exposed,change_exposed_to_post
Spain,Politics + Military,-0.3218718819564629,6,2,-0.37876824767953277
Spain,Politics + Nobility & Kinship,-0.45724210532919946,6,2,-0.5203959518077375
Spain,Politics + Religion,0.2178135844453165,6,2,-0.511051650057874
Spain,Religion + Learning & Culture,0.24941680178002545,6,2,-0.05755842080042495
United Kingdom,Administration & Law + Business,0.07056006179286423,7,2,-0.5285896608775684
United Kingdom,Administration & Law + Learning & Culture,-0.12841766404415372,7,2,0.48092120613504036
United Kingdom,Administration & Law + Military,0.04576754573321984,7,2,0.6705605710792379
United Kingdom,Administration & Law + Nobility & Kinship,-0.2626349654512354,7,2,-0.25577459780525313
United Kingdom,Administration & Law + Religion,-2.37205327051877,7,2,0.17851532440756324
United Kingdom,Business + Learning & Culture,0.4060772864604649,7,2,-0.807560918560779
United Kingdom,Business + Nobility & Kinship,-0.5191404989728432,7,2,0.03491427152275428
United Kingdom,Business + Religion,0.3178250014245699,7,2,-0.4083585357204457
United Kingdom,Military + Business,-1.3455680372673064,7,2,0.33270233768656343
United Kingdom,Military + Learning & Culture,0.0944838094849974,7,2,0.39778084360689125
United Kingdom,Military + Nobility & Kinship,-0.7426363162481758,7,2,0.6869039172041961
United Kingdom,Military + Religion,-1.5488529577957153,7,2,2.5338141351439805
United Kingdom,Nobility & Kinship + Learning & Culture,-0.18988545858548678,7,2,0.6883552386586713
United Kingdom,Nobility & Kinship + Religion,-0.6266959135778959,7,2,0.689346861041778
United Kingdom,Politics + Administration & Law,0.1394924328323608,7,2,0.07050913465115882
United Kingdom,Politics + Business,-0.7112648797317933,7,2,0.9362441877193417
United Kingdom,Politics + Learning & Culture,-0.01623575990285442,7,2,0.5145400014394719
United Kingdom,Politics + Military,0.5148097180570026,7,2,-0.24622996423999033
United Kingdom,Politics + Nobility & Kinship,0.21071984529488835,7,2,-0.16918844039523728
United Kingdom,Politics + Religion,-0.25114536821436373,7,2,0.3517497880974142
United Kingdom,Religion + Learning & Culture,0.10204909686792085,7,2,-0.6724732474073464
